nome,email,telefone,cidade,assunto,mensagem,origem,dia_envio,followup_72h,followup_7d,call_15min
Sol Nascente Imóveis,contato@ssolnascente.com.br,(11) 99741-5843,Praia Grande,Parceria Praia Digital — Praia Grande + IA,"Famílias buscam segurança e praticidade no Praia Grande. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Maré Alta Imóveis,contato@smarealta.com.br,(11) 98257-3494,Costa Verde,Parceria Praia Digital — Costa Verde + IA,Clientes de alto padrão no Costa Verde esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver na prática?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Costa Branca Imóveis,contato@scostabranca.com.br,(11) 98953-9445,Praia Sul,Parceria Praia Digital — Praia Sul + IA,"Famílias buscam segurança e praticidade no Praia Sul. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Vista Mar Imóveis,contato@svistamar.com.br,(11) 99446-7744,Litoral Norte,Parceria Praia Digital — Litoral Norte + IA,Verão no Litoral Norte movimenta vendas. Automatize captação e feche mais antes da temporada começar. Demo de 15min?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Praia Dourada Imóveis,contato@spraiadourada.com.br,(11) 99145-9373,Praia Sul,Parceria Praia Digital — Praia Sul + IA,"Famílias buscam segurança e praticidade no Praia Sul. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Recanto do Sol Imóveis,contato@srecantodosol.com.br,(11) 99183-5439,Centro Hist.,Parceria Praia Digital — Centro Hist. + IA,Imóveis comerciais no Centro Hist. tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Maré Azul Imóveis,contato@smareazul.com.br,(11) 98209-9548,Barra Norte,Parceria Praia Digital — Barra Norte + IA,Picos de temporada no Barra Norte exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Brisa do Litoral Imóveis,contato@sbrisadolitoral.com.br,(11) 98800-6546,Vila Mar,Parceria Praia Digital — Vila Mar + IA,Imóveis comerciais no Vila Mar tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Costa do Sol Imóveis,contato@scostadosol.com.br,(11) 99919-9687,Brisa do Mar,Parceria Praia Digital — Brisa do Mar + IA,Picos de temporada no Brisa do Mar exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Vila Mariana Imóveis,contato@svilamariana.com.br,(11) 99046-8259,Praia Grande,Parceria Praia Digital — Praia Grande + IA,"Famílias buscam segurança e praticidade no Praia Grande. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Porto Belo Imóveis,contato@sportobelo.com.br,(11) 98429-6482,Costa Dourada,Parceria Praia Digital — Costa Dourada + IA,Investidores no Costa Dourada buscam dados rápidos e avaliações precisas. Nossa ferramenta entrega isso em 1 clique. Vamos testar?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Maré Viva Imóveis,contato@smareviva.com.br,(11) 99737-9392,Porto da Lua,Parceria Praia Digital — Porto da Lua + IA,A temporada no Porto da Lua já começou e cada hora sem resposta é lead perdido. Nossa assistente virtual responde em segundos 24/7. Quer testar gratuitamente por 15 dias?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Praia Verde Imóveis,contato@spraiaverde.com.br,(11) 99827-6462,Costa Verde,Parceria Praia Digital — Costa Verde + IA,Clientes de alto padrão no Costa Verde esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver na prática?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Costa Serena Imóveis,contato@scostaserena.com.br,(11) 98577-2510,Barra Norte,Parceria Praia Digital — Barra Norte + IA,Picos de temporada no Barra Norte exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Maré Alta Prime Imóveis,contato@smarealtaprime.com.br,(11) 99504-3746,Porto da Lua,Parceria Praia Digital — Porto da Lua + IA,A temporada no Porto da Lua já começou e cada hora sem resposta é lead perdido. Nossa assistente virtual responde em segundos 24/7. Quer testar gratuitamente por 15 dias?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Sol do Mar Imóveis,contato@ssoldomar.com.br,(11) 99304-4599,Costa Verde,Parceria Praia Digital — Costa Verde + IA,Clientes de alto padrão no Costa Verde esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver na prática?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Vila Mar Imóveis,contato@svilamar.com.br,(11) 98552-9925,Centro Hist.,Parceria Praia Digital — Centro Hist. + IA,Imóveis comerciais no Centro Hist. tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Porto Sol Imóveis,contato@sportosol.com.br,(11) 98728-1565,Costa Dourada,Parceria Praia Digital — Costa Dourada + IA,Investidores no Costa Dourada buscam dados rápidos e avaliações precisas. Nossa ferramenta entrega isso em 1 clique. Vamos testar?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Costa Dourada Imóveis,contato@scostadourada.com.br,(11) 98890-2940,Costa Dourada,Parceria Praia Digital — Costa Dourada + IA,Investidores no Costa Dourada buscam dados rápidos e avaliações precisas. Nossa ferramenta entrega isso em 1 clique. Vamos testar?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Brisa Marina Imóveis,contato@sbrisamarina.com.br,(11) 99563-9778,Centro Hist.,Parceria Praia Digital — Centro Hist. + IA,Imóveis comerciais no Centro Hist. tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Praia Serena Imóveis,contato@spraiaserena.com.br,(11) 98823-5454,Barra Norte,Parceria Praia Digital — Barra Norte + IA,Picos de temporada no Barra Norte exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Maré Nova Imóveis,contato@smarenova.com.br,(11) 99843-4748,Praia Grande,Parceria Praia Digital — Praia Grande + IA,"Famílias buscam segurança e praticidade no Praia Grande. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Sol Nascente Prime Imóveis,contato@ssolnascenteprime.com.br,(11) 98888-6858,Vila Mar,Parceria Praia Digital — Vila Mar + IA,Imóveis comerciais no Vila Mar tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Costa Azul Imóveis,contato@scostaazul.com.br,(11) 98729-1826,Brisa do Mar,Parceria Praia Digital — Brisa do Mar + IA,Picos de temporada no Brisa do Mar exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Vila Mar Azul Imóveis,contato@svilamarazul.com.br,(11) 99071-1226,Praia Sul,Parceria Praia Digital — Praia Sul + IA,"Famílias buscam segurança e praticidade no Praia Sul. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Litoral Premium Imóveis,contato@slitoralpremium.com.br,(11) 99791-4558,Vila Mar,Parceria Praia Digital — Vila Mar + IA,Imóveis comerciais no Vila Mar tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Praia Exclusive Imóveis,contato@spraiaexclusive.com.br,(11) 99499-2529,Barra Norte,Parceria Praia Digital — Barra Norte + IA,Picos de temporada no Barra Norte exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Costa Premium Imóveis,contato@scostapremium.com.br,(11) 98528-4193,Praia Sul,Parceria Praia Digital — Praia Sul + IA,"Famílias buscam segurança e praticidade no Praia Sul. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Barra Premium Imóveis,contato@sbarrapremium.com.br,(11) 99819-8033,Barra Norte,Parceria Praia Digital — Barra Norte + IA,Picos de temporada no Barra Norte exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Porto Exclusive Imóveis,contato@sportoexclusive.com.br,(11) 98881-5304,Porto da Lua,Parceria Praia Digital — Porto da Lua + IA,A temporada no Porto da Lua já começou e cada hora sem resposta é lead perdido. Nossa assistente virtual responde em segundos 24/7. Quer testar gratuitamente por 15 dias?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Fernanda Nunes,contato6@exemplo.com,,Santos,Parceria Consórcio Ademicon para Beta Imóveis Centro,"Olá, Fernanda Nunes!  Me chamo Carolina Moura, CEO da Praia Digital.  Tenho uma proposta específica para a Beta Imóveis Centro (Santos): uma parceria para oferecer **consórcio imobiliário e de automóveis** com a **Ademicon**.  **Por que faz sentido para Beta Imóveis Centro:** Santos tem investimento seguro em área nobre. Seus clientes ganham uma alternativa sem juros abusivos, e você aumenta vendas sem custo de adesão.  **Vantagens diretas para sua imobiliária:** ✅ Comissão por indicação sem investimento inicial ✅ Taxa administrativa transparente, sem juros compostos ✅ Treinamento gratuito e material profissional ✅ Acesso a ferramentas de IA e prospecção gratuita: https://praia.digital ✅ Seu cliente negocia como comprador à vista — desconto de 5% a 15% no imóvel  **Exemplo prático (crédito R$ 200.000 | 120 meses):** - Consórcio Ademicon: ~R$ 215.000 total - Financiamento tradicional: acima de R$ 320.000 - **Economia para o comprador: R$ 105.000+**  Conheça nosso site: https://acarolmourad-commits.github.io/praia-digital/  Queremos conversar 15 minutos sobre como isso pode funcionar na prática para Beta Imóveis Centro.  Att, Carolina Moura CEO Praia Digital WhatsApp: (11) 95434-6288 E-mail: comercial@praia.digital ",lote-consorcio-20-leads-20260709.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Ricardo Lima,contato15@exemplo.com,,Guarujá,Parceria Consórcio Ademicon para Prime Imóveis Digital,"Olá, Ricardo Lima!  Me chamo Carolina Moura, CEO da Praia Digital.  Tenho uma proposta específica para a Prime Imóveis Digital (Guarujá): uma parceria para oferecer **consórcio imobiliário e de automóveis** com a **Ademicon**.  **Por que faz sentido para Prime Imóveis Digital:** Guarujá tem alta temporada forte e rentabilidade. Seus clientes ganham uma alternativa sem juros abusivos, e você aumenta vendas sem custo de adesão.  **Vantagens diretas para sua imobiliária:** ✅ Comissão por indicação sem investimento inicial ✅ Taxa administrativa transparente, sem juros compostos ✅ Treinamento gratuito e material profissional ✅ Acesso a ferramentas de IA e prospecção gratuita: https://praia.digital ✅ Seu cliente negocia como comprador à vista — desconto de 5% a 15% no imóvel  **Exemplo prático (crédito R$ 200.000 | 120 meses):** - Consórcio Ademicon: ~R$ 215.000 total - Financiamento tradicional: acima de R$ 320.000 - **Economia para o comprador: R$ 105.000+**  Conheça nosso site: https://acarolmourad-commits.github.io/praia-digital/  Queremos conversar 15 minutos sobre como isso pode funcionar na prática para Prime Imóveis Digital.  Att, Carolina Moura CEO Praia Digital WhatsApp: (11) 95434-6288 E-mail: comercial@praia.digital ",lote-consorcio-20-leads-20260709.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Mariana Costa,contato21@exemplo.com,,Santos,Parceria Consórcio Ademicon para Litoral Norte Imóveis,"Olá, Mariana Costa!  Me chamo Carolina Moura, CEO da Praia Digital.  Tenho uma proposta específica para a Litoral Norte Imóveis (Santos): uma parceria para oferecer **consórcio imobiliário e de automóveis** com a **Ademicon**.  **Por que faz sentido para Litoral Norte Imóveis:** Santos tem investimento seguro em área nobre. Seus clientes ganham uma alternativa sem juros abusivos, e você aumenta vendas sem custo de adesão.  **Vantagens diretas para sua imobiliária:** ✅ Comissão por indicação sem investimento inicial ✅ Taxa administrativa transparente, sem juros compostos ✅ Treinamento gratuito e material profissional ✅ Acesso a ferramentas de IA e prospecção gratuita: https://praia.digital ✅ Seu cliente negocia como comprador à vista — desconto de 5% a 15% no imóvel  **Exemplo prático (crédito R$ 200.000 | 120 meses):** - Consórcio Ademicon: ~R$ 215.000 total - Financiamento tradicional: acima de R$ 320.000 - **Economia para o comprador: R$ 105.000+**  Conheça nosso site: https://acarolmourad-commits.github.io/praia-digital/  Queremos conversar 15 minutos sobre como isso pode funcionar na prática para Litoral Norte Imóveis.  Att, Carolina Moura CEO Praia Digital WhatsApp: (11) 95434-6288 E-mail: comercial@praia.digital ",lote-consorcio-20-leads-20260709.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Luciana Souza,contato34@exemplo.com,,Praia Grande,Parceria Consórcio Ademicon para Caiçara Imóveis,"Olá, Luciana Souza!  Me chamo Carolina Moura, CEO da Praia Digital.  Tenho uma proposta específica para a Caiçara Imóveis (Praia Grande): uma parceria para oferecer **consórcio imobiliário e de automóveis** com a **Ademicon**.  **Por que faz sentido para Caiçara Imóveis:** Praia Grande tem preço acessível e valorização rápida. Seus clientes ganham uma alternativa sem juros abusivos, e você aumenta vendas sem custo de adesão.  **Vantagens diretas para sua imobiliária:** ✅ Comissão por indicação sem investimento inicial ✅ Taxa administrativa transparente, sem juros compostos ✅ Treinamento gratuito e material profissional ✅ Acesso a ferramentas de IA e prospecção gratuita: https://praia.digital ✅ Seu cliente negocia como comprador à vista — desconto de 5% a 15% no imóvel  **Exemplo prático (crédito R$ 200.000 | 120 meses):** - Consórcio Ademicon: ~R$ 215.000 total - Financiamento tradicional: acima de R$ 320.000 - **Economia para o comprador: R$ 105.000+**  Conheça nosso site: https://acarolmourad-commits.github.io/praia-digital/  Queremos conversar 15 minutos sobre como isso pode funcionar na prática para Caiçara Imóveis.  Att, Carolina Moura CEO Praia Digital WhatsApp: (11) 95434-6288 E-mail: comercial@praia.digital ",lote-consorcio-20-leads-20260709.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Fernanda Lima,contato39@exemplo.com,,Praia Grande,Parceria Consórcio Ademicon para Praia Grande Norte,"Olá, Fernanda Lima!  Me chamo Carolina Moura, CEO da Praia Digital.  Tenho uma proposta específica para a Praia Grande Norte (Praia Grande): uma parceria para oferecer **consórcio imobiliário e de automóveis** com a **Ademicon**.  **Por que faz sentido para Praia Grande Norte:** Praia Grande tem preço acessível e valorização rápida. Seus clientes ganham uma alternativa sem juros abusivos, e você aumenta vendas sem custo de adesão.  **Vantagens diretas para sua imobiliária:** ✅ Comissão por indicação sem investimento inicial ✅ Taxa administrativa transparente, sem juros compostos ✅ Treinamento gratuito e material profissional ✅ Acesso a ferramentas de IA e prospecção gratuita: https://praia.digital ✅ Seu cliente negocia como comprador à vista — desconto de 5% a 15% no imóvel  **Exemplo prático (crédito R$ 200.000 | 120 meses):** - Consórcio Ademicon: ~R$ 215.000 total - Financiamento tradicional: acima de R$ 320.000 - **Economia para o comprador: R$ 105.000+**  Conheça nosso site: https://acarolmourad-commits.github.io/praia-digital/  Queremos conversar 15 minutos sobre como isso pode funcionar na prática para Praia Grande Norte.  Att, Carolina Moura CEO Praia Digital WhatsApp: (11) 95434-6288 E-mail: comercial@praia.digital ",lote-consorcio-20-leads-20260709.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Mariana Costa,contato44@exemplo.com,,Bertioga,Parceria Consórcio Ademicon para Riviera Norte,"Olá, Mariana Costa!  Me chamo Carolina Moura, CEO da Praia Digital.  Tenho uma proposta específica para a Riviera Norte (Bertioga): uma parceria para oferecer **consórcio imobiliário e de automóveis** com a **Ademicon**.  **Por que faz sentido para Riviera Norte:** Bertioga tem crescimento imobiliário emergente. Seus clientes ganham uma alternativa sem juros abusivos, e você aumenta vendas sem custo de adesão.  **Vantagens diretas para sua imobiliária:** ✅ Comissão por indicação sem investimento inicial ✅ Taxa administrativa transparente, sem juros compostos ✅ Treinamento gratuito e material profissional ✅ Acesso a ferramentas de IA e prospecção gratuita: https://praia.digital ✅ Seu cliente negocia como comprador à vista — desconto de 5% a 15% no imóvel  **Exemplo prático (crédito R$ 200.000 | 120 meses):** - Consórcio Ademicon: ~R$ 215.000 total - Financiamento tradicional: acima de R$ 320.000 - **Economia para o comprador: R$ 105.000+**  Conheça nosso site: https://acarolmourad-commits.github.io/praia-digital/  Queremos conversar 15 minutos sobre como isso pode funcionar na prática para Riviera Norte.  Att, Carolina Moura CEO Praia Digital WhatsApp: (11) 95434-6288 E-mail: comercial@praia.digital ",lote-consorcio-20-leads-20260709.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Thiago Lima,contato83@exemplo.com,,Itanhaém,Parceria Consórcio Ademicon para Itanhaém Norte,"Olá, Thiago Lima!  Me chamo Carolina Moura, CEO da Praia Digital.  Tenho uma proposta específica para a Itanhaém Norte (Itanhaém): uma parceria para oferecer **consórcio imobiliário e de automóveis** com a **Ademicon**.  **Por que faz sentido para Itanhaém Norte:** Itanhaém tem custo-benefício e tranquilidade. Seus clientes ganham uma alternativa sem juros abusivos, e você aumenta vendas sem custo de adesão.  **Vantagens diretas para sua imobiliária:** ✅ Comissão por indicação sem investimento inicial ✅ Taxa administrativa transparente, sem juros compostos ✅ Treinamento gratuito e material profissional ✅ Acesso a ferramentas de IA e prospecção gratuita: https://praia.digital ✅ Seu cliente negocia como comprador à vista — desconto de 5% a 15% no imóvel  **Exemplo prático (crédito R$ 200.000 | 120 meses):** - Consórcio Ademicon: ~R$ 215.000 total - Financiamento tradicional: acima de R$ 320.000 - **Economia para o comprador: R$ 105.000+**  Conheça nosso site: https://acarolmourad-commits.github.io/praia-digital/  Queremos conversar 15 minutos sobre como isso pode funcionar na prática para Itanhaém Norte.  Att, Carolina Moura CEO Praia Digital WhatsApp: (11) 95434-6288 E-mail: comercial@praia.digital ",lote-consorcio-20-leads-20260709.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Igor Barros,contato92@exemplo.com,,Guarujá,Parceria Consórcio Ademicon para Guarujá Blue Tech,"Olá, Igor Barros!  Me chamo Carolina Moura, CEO da Praia Digital.  Tenho uma proposta específica para a Guarujá Blue Tech (Guarujá): uma parceria para oferecer **consórcio imobiliário e de automóveis** com a **Ademicon**.  **Por que faz sentido para Guarujá Blue Tech:** Guarujá tem alta temporada forte e rentabilidade. Seus clientes ganham uma alternativa sem juros abusivos, e você aumenta vendas sem custo de adesão.  **Vantagens diretas para sua imobiliária:** ✅ Comissão por indicação sem investimento inicial ✅ Taxa administrativa transparente, sem juros compostos ✅ Treinamento gratuito e material profissional ✅ Acesso a ferramentas de IA e prospecção gratuita: https://praia.digital ✅ Seu cliente negocia como comprador à vista — desconto de 5% a 15% no imóvel  **Exemplo prático (crédito R$ 200.000 | 120 meses):** - Consórcio Ademicon: ~R$ 215.000 total - Financiamento tradicional: acima de R$ 320.000 - **Economia para o comprador: R$ 105.000+**  Conheça nosso site: https://acarolmourad-commits.github.io/praia-digital/  Queremos conversar 15 minutos sobre como isso pode funcionar na prática para Guarujá Blue Tech.  Att, Carolina Moura CEO Praia Digital WhatsApp: (11) 95434-6288 E-mail: comercial@praia.digital ",lote-consorcio-20-leads-20260709.csv,2026-07-10,2026-07-13,2026-07-17,Sim
