email,nome,imobiliaria,cidade,template,assunto,corpo
contato@ssolnascente.com.br,Sol Nascente Imóveis,Sol Nascente Imóveis,Praia Grande,A_seo_local,Parceria sem custo para {imobiliaria}: mais procura local sem mexer no site atual,"Olá, Sol Nascente Imóveis,

Sou Carolina Mourad, CEO da Praia Digital. Ajudo imobiliárias e construtoras do litoral paulista a captar mais proprietários e compradores qualificados, com SEO local, conteúdo por bairro e automação leve — sem pedir investimento inicial no piloto.

Em vez de mais uma ferramenta, proponho um modelo de crescimento compartilhado: nós entregamos direcionamento de captação e conteúdo; vocês fornecem o time comercial e experiência local. Em até 30 dias, podemos ter um case conjunto.

Quero só 3 informações para iniciar:
1) Coordenador(a) do piloto
2) Site atual
3) 30min na semana que vem para alinhar

Links:
Site: https://acarolmourad-commits.github.io/praia-digital/
Ferramentas: https://praia.digital
WhatsApp: https://wa.me/5511954346288

Até breve,
Carolina Mourad
CEO — Praia Digital
(11) 95434-6288
https://praia.digital"
contato@smarealta.com.br,Maré Alta Imóveis,Maré Alta Imóveis,Costa Verde,B_anuncios,{imobiliaria}: avaliacao gratuita de anuncios + captacao sem custo inicial,"Olá, Maré Alta Imóveis,

Sou Carolina Mourad, CEO da Praia Digital. Ajudo imobiliárias e construtoras do litoral paulista a captar mais proprietários e compradores qualificados, com SEO local, conteúdo por bairro e automação leve — sem pedir investimento inicial no piloto.

Em vez de mais uma ferramenta, proponho um modelo de crescimento compartilhado: nós entregamos direcionamento de captação e conteúdo; vocês fornecem o time comercial e experiência local. Em até 30 dias, podemos ter um case conjunto.

Quero só 3 informações para iniciar:
1) Coordenador(a) do piloto
2) Site atual
3) 30min na semana que vem para alinhar

Links:
Site: https://acarolmourad-commits.github.io/praia-digital/
Ferramentas: https://praia.digital
WhatsApp: https://wa.me/5511954346288

Até breve,
Carolina Mourad
CEO — Praia Digital
(11) 95434-6288
https://praia.digital"
contato@scostabranca.com.br,Costa Branca Imóveis,Costa Branca Imóveis,Praia Sul,C_assistente_whatsapp,{imobiliaria}: assistente no WhatsApp para reduzir tempo de resposta,"Olá, Costa Branca Imóveis,

Sou Carolina Mourad, CEO da Praia Digital. Ajudo imobiliárias e construtoras do litoral paulista a captar mais proprietários e compradores qualificados, com SEO local, conteúdo por bairro e automação leve — sem pedir investimento inicial no piloto.

Em vez de mais uma ferramenta, proponho um modelo de crescimento compartilhado: nós entregamos direcionamento de captação e conteúdo; vocês fornecem o time comercial e experiência local. Em até 30 dias, podemos ter um case conjunto.

Quero só 3 informações para iniciar:
1) Coordenador(a) do piloto
2) Site atual
3) 30min na semana que vem para alinhar

Links:
Site: https://acarolmourad-commits.github.io/praia-digital/
Ferramentas: https://praia.digital
WhatsApp: https://wa.me/5511954346288

Até breve,
Carolina Mourad
CEO — Praia Digital
(11) 95434-6288
https://praia.digital"
contato@svistamar.com.br,Vista Mar Imóveis,Vista Mar Imóveis,Litoral Norte,D_cases,{imobiliaria}: case de +35 leads qualificados no litoral,"Olá, Vista Mar Imóveis,

Sou Carolina Mourad, CEO da Praia Digital. Ajudo imobiliárias e construtoras do litoral paulista a captar mais proprietários e compradores qualificados, com SEO local, conteúdo por bairro e automação leve — sem pedir investimento inicial no piloto.

Em vez de mais uma ferramenta, proponho um modelo de crescimento compartilhado: nós entregamos direcionamento de captação e conteúdo; vocês fornecem o time comercial e experiência local. Em até 30 dias, podemos ter um case conjunto.

Quero só 3 informações para iniciar:
1) Coordenador(a) do piloto
2) Site atual
3) 30min na semana que vem para alinhar

Links:
Site: https://acarolmourad-commits.github.io/praia-digital/
Ferramentas: https://praia.digital
WhatsApp: https://wa.me/5511954346288

Até breve,
Carolina Mourad
CEO — Praia Digital
(11) 95434-6288
https://praia.digital"
contato@spraiadourada.com.br,Praia Dourada Imóveis,Praia Dourada Imóveis,Praia Sul,E_curta,Parceria sem custo para {imobiliaria},"Olá, Praia Dourada Imóveis,

Sou Carolina Mourad, CEO da Praia Digital. Ajudo imobiliárias e construtoras do litoral paulista a captar mais proprietários e compradores qualificados, com SEO local, conteúdo por bairro e automação leve — sem pedir investimento inicial no piloto.

Em vez de mais uma ferramenta, proponho um modelo de crescimento compartilhado: nós entregamos direcionamento de captação e conteúdo; vocês fornecem o time comercial e experiência local. Em até 30 dias, podemos ter um case conjunto.

Quero só 3 informações para iniciar:
1) Coordenador(a) do piloto
2) Site atual
3) 30min na semana que vem para alinhar

Links:
Site: https://acarolmourad-commits.github.io/praia-digital/
Ferramentas: https://praia.digital
WhatsApp: https://wa.me/5511954346288

Até breve,
Carolina Mourad
CEO — Praia Digital
(11) 95434-6288
https://praia.digital"
contato@srecantodosol.com.br,Recanto do Sol Imóveis,Recanto do Sol Imóveis,Centro Hist.,A_seo_local,Parceria sem custo para {imobiliaria}: mais procura local sem mexer no site atual,"Olá, Recanto do Sol Imóveis,

Sou Carolina Mourad, CEO da Praia Digital. Ajudo imobiliárias e construtoras do litoral paulista a captar mais proprietários e compradores qualificados, com SEO local, conteúdo por bairro e automação leve — sem pedir investimento inicial no piloto.

Em vez de mais uma ferramenta, proponho um modelo de crescimento compartilhado: nós entregamos direcionamento de captação e conteúdo; vocês fornecem o time comercial e experiência local. Em até 30 dias, podemos ter um case conjunto.

Quero só 3 informações para iniciar:
1) Coordenador(a) do piloto
2) Site atual
3) 30min na semana que vem para alinhar

Links:
Site: https://acarolmourad-commits.github.io/praia-digital/
Ferramentas: https://praia.digital
WhatsApp: https://wa.me/5511954346288

Até breve,
Carolina Mourad
CEO — Praia Digital
(11) 95434-6288
https://praia.digital"
contato@smareazul.com.br,Maré Azul Imóveis,Maré Azul Imóveis,Barra Norte,B_anuncios,{imobiliaria}: avaliacao gratuita de anuncios + captacao sem custo inicial,"Olá, Maré Azul Imóveis,

Sou Carolina Mourad, CEO da Praia Digital. Ajudo imobiliárias e construtoras do litoral paulista a captar mais proprietários e compradores qualificados, com SEO local, conteúdo por bairro e automação leve — sem pedir investimento inicial no piloto.

Em vez de mais uma ferramenta, proponho um modelo de crescimento compartilhado: nós entregamos direcionamento de captação e conteúdo; vocês fornecem o time comercial e experiência local. Em até 30 dias, podemos ter um case conjunto.

Quero só 3 informações para iniciar:
1) Coordenador(a) do piloto
2) Site atual
3) 30min na semana que vem para alinhar

Links:
Site: https://acarolmourad-commits.github.io/praia-digital/
Ferramentas: https://praia.digital
WhatsApp: https://wa.me/5511954346288

Até breve,
Carolina Mourad
CEO — Praia Digital
(11) 95434-6288
https://praia.digital"
contato@sbrisadolitoral.com.br,Brisa do Litoral Imóveis,Brisa do Litoral Imóveis,Vila Mar,C_assistente_whatsapp,{imobiliaria}: assistente no WhatsApp para reduzir tempo de resposta,"Olá, Brisa do Litoral Imóveis,

Sou Carolina Mourad, CEO da Praia Digital. Ajudo imobiliárias e construtoras do litoral paulista a captar mais proprietários e compradores qualificados, com SEO local, conteúdo por bairro e automação leve — sem pedir investimento inicial no piloto.

Em vez de mais uma ferramenta, proponho um modelo de crescimento compartilhado: nós entregamos direcionamento de captação e conteúdo; vocês fornecem o time comercial e experiência local. Em até 30 dias, podemos ter um case conjunto.

Quero só 3 informações para iniciar:
1) Coordenador(a) do piloto
2) Site atual
3) 30min na semana que vem para alinhar

Links:
Site: https://acarolmourad-commits.github.io/praia-digital/
Ferramentas: https://praia.digital
WhatsApp: https://wa.me/5511954346288

Até breve,
Carolina Mourad
CEO — Praia Digital
(11) 95434-6288
https://praia.digital"
contato@scostadosol.com.br,Costa do Sol Imóveis,Costa do Sol Imóveis,Brisa do Mar,D_cases,{imobiliaria}: case de +35 leads qualificados no litoral,"Olá, Costa do Sol Imóveis,

Sou Carolina Mourad, CEO da Praia Digital. Ajudo imobiliárias e construtoras do litoral paulista a captar mais proprietários e compradores qualificados, com SEO local, conteúdo por bairro e automação leve — sem pedir investimento inicial no piloto.

Em vez de mais uma ferramenta, proponho um modelo de crescimento compartilhado: nós entregamos direcionamento de captação e conteúdo; vocês fornecem o time comercial e experiência local. Em até 30 dias, podemos ter um case conjunto.

Quero só 3 informações para iniciar:
1) Coordenador(a) do piloto
2) Site atual
3) 30min na semana que vem para alinhar

Links:
Site: https://acarolmourad-commits.github.io/praia-digital/
Ferramentas: https://praia.digital
WhatsApp: https://wa.me/5511954346288

Até breve,
Carolina Mourad
CEO — Praia Digital
(11) 95434-6288
https://praia.digital"
contato@svilamariana.com.br,Vila Mariana Imóveis,Vila Mariana Imóveis,Praia Grande,E_curta,Parceria sem custo para {imobiliaria},"Olá, Vila Mariana Imóveis,

Sou Carolina Mourad, CEO da Praia Digital. Ajudo imobiliárias e construtoras do litoral paulista a captar mais proprietários e compradores qualificados, com SEO local, conteúdo por bairro e automação leve — sem pedir investimento inicial no piloto.

Em vez de mais uma ferramenta, proponho um modelo de crescimento compartilhado: nós entregamos direcionamento de captação e conteúdo; vocês fornecem o time comercial e experiência local. Em até 30 dias, podemos ter um case conjunto.

Quero só 3 informações para iniciar:
1) Coordenador(a) do piloto
2) Site atual
3) 30min na semana que vem para alinhar

Links:
Site: https://acarolmourad-commits.github.io/praia-digital/
Ferramentas: https://praia.digital
WhatsApp: https://wa.me/5511954346288

Até breve,
Carolina Mourad
CEO — Praia Digital
(11) 95434-6288
https://praia.digital"
