id,nome_da_imobiliaria,cidade,pessoa_de_contato,cargo,email,whatsapp,perfil,status,dor_principal,diferencial,fonte,pontuacao_lead,objetivo_90_dias,orcamento_estimado,tom,cidade_ref,created_at,_score,last_contact,next_followup
101,Santos Premium,Santos,Contato 1,Gerente,lead101@exemplo.com,(13) 99999-1001,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,71,Automação,R$ 1-3k/mês,parceiro,Santos,08/07/2026,21,08/07/2026,08/07/2026
102,Guarujá Digital,Guarujá,Contato 2,Gerente,lead102@exemplo.com,(13) 99999-1002,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,72,Automação,R$ 1-3k/mês,parceiro,Guarujá,08/07/2026,22,08/07/2026,08/07/2026
103,Praia Grande Tech,Praia Grande,Contato 3,Gerente,lead103@exemplo.com,(13) 99999-1003,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,73,Automação,R$ 1-3k/mês,parceiro,Praia Grande,08/07/2026,23,08/07/2026,08/07/2026
104,São Vicente Litoral,São Vicente,Contato 4,Gerente,lead104@exemplo.com,(13) 99999-1004,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,74,Automação,R$ 1-3k/mês,parceiro,São Vicente,08/07/2026,24,08/07/2026,08/07/2026
105,Bertioga Praia,Bertioga,Contato 5,Gerente,lead105@exemplo.com,(13) 99999-1005,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,75,Automação,R$ 1-3k/mês,parceiro,Bertioga,08/07/2026,20,08/07/2026,08/07/2026
106,Itanhaém Smart,Itanhaém,Contato 6,Gerente,lead106@exemplo.com,(13) 99999-1006,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,76,Automação,R$ 1-3k/mês,parceiro,Itanhaém,08/07/2026,21,08/07/2026,08/07/2026
107,Peruíbe Blue,Peruíbe,Contato 7,Gerente,lead107@exemplo.com,(13) 99999-1007,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,77,Automação,R$ 1-3k/mês,parceiro,Peruíbe,08/07/2026,22,08/07/2026,08/07/2026
108,Mongaguá Green,Mongaguá,Contato 8,Gerente,lead108@exemplo.com,(13) 99999-1008,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,78,Automação,R$ 1-3k/mês,parceiro,Mongaguá,08/07/2026,23,08/07/2026,08/07/2026
109,Ubatuba Elite,Ubatuba,Contato 9,Gerente,lead109@exemplo.com,(13) 99999-1009,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,79,Automação,R$ 1-3k/mês,parceiro,Ubatuba,08/07/2026,24,08/07/2026,08/07/2026
110,Ilhabela Executive,Ilhabela,Contato 10,Gerente,lead110@exemplo.com,(13) 99999-1010,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,80,Automação,R$ 1-3k/mês,parceiro,Ilhabela,08/07/2026,20,08/07/2026,08/07/2026
111,Santos Launch,Santos,Contato 11,Gerente,lead111@exemplo.com,(13) 99999-1011,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,81,Automação,R$ 1-3k/mês,parceiro,Santos,08/07/2026,21,08/07/2026,08/07/2026
112,Guarujá Platinum,Guarujá,Contato 12,Gerente,lead112@exemplo.com,(13) 99999-1012,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,82,Automação,R$ 1-3k/mês,parceiro,Guarujá,08/07/2026,22,08/07/2026,08/07/2026
113,Praia Grande Connect,Praia Grande,Contato 13,Gerente,lead113@exemplo.com,(13) 99999-1013,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,83,Automação,R$ 1-3k/mês,parceiro,Praia Grande,08/07/2026,23,08/07/2026,08/07/2026
114,São Vicente View,São Vicente,Contato 14,Gerente,lead114@exemplo.com,(13) 99999-1014,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,84,Automação,R$ 1-3k/mês,parceiro,São Vicente,08/07/2026,24,08/07/2026,08/07/2026
115,Bertioga Center,Bertioga,Contato 15,Gerente,lead115@exemplo.com,(13) 99999-1015,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,85,Automação,R$ 1-3k/mês,parceiro,Bertioga,08/07/2026,20,08/07/2026,08/07/2026
116,Itanhaém Premium,Itanhaém,Contato 16,Gerente,lead116@exemplo.com,(13) 99999-1016,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,86,Automação,R$ 1-3k/mês,parceiro,Itanhaém,08/07/2026,21,08/07/2026,08/07/2026
117,Peruíbe Digital,Peruíbe,Contato 17,Gerente,lead117@exemplo.com,(13) 99999-1017,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,87,Automação,R$ 1-3k/mês,parceiro,Peruíbe,08/07/2026,22,08/07/2026,08/07/2026
118,Mongaguá Tech,Mongaguá,Contato 18,Gerente,lead118@exemplo.com,(13) 99999-1018,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,88,Automação,R$ 1-3k/mês,parceiro,Mongaguá,08/07/2026,23,08/07/2026,08/07/2026
119,Ubatuba Litoral,Ubatuba,Contato 19,Gerente,lead119@exemplo.com,(13) 99999-1019,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,89,Automação,R$ 1-3k/mês,parceiro,Ubatuba,08/07/2026,24,08/07/2026,08/07/2026
120,Ilhabela Praia,Ilhabela,Contato 20,Gerente,lead120@exemplo.com,(13) 99999-1020,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,70,Automação,R$ 1-3k/mês,parceiro,Ilhabela,08/07/2026,20,08/07/2026,08/07/2026
121,Santos Smart,Santos,Contato 21,Gerente,lead121@exemplo.com,(13) 99999-1021,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,71,Automação,R$ 1-3k/mês,parceiro,Santos,08/07/2026,21,08/07/2026,08/07/2026
122,Guarujá Blue,Guarujá,Contato 22,Gerente,lead122@exemplo.com,(13) 99999-1022,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,72,Automação,R$ 1-3k/mês,parceiro,Guarujá,08/07/2026,22,08/07/2026,08/07/2026
123,Praia Grande Green,Praia Grande,Contato 23,Gerente,lead123@exemplo.com,(13) 99999-1023,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,73,Automação,R$ 1-3k/mês,parceiro,Praia Grande,08/07/2026,23,08/07/2026,08/07/2026
124,São Vicente Elite,São Vicente,Contato 24,Gerente,lead124@exemplo.com,(13) 99999-1024,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,74,Automação,R$ 1-3k/mês,parceiro,São Vicente,08/07/2026,24,08/07/2026,08/07/2026
125,Bertioga Executive,Bertioga,Contato 25,Gerente,lead125@exemplo.com,(13) 99999-1025,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,75,Automação,R$ 1-3k/mês,parceiro,Bertioga,08/07/2026,20,08/07/2026,08/07/2026
126,Itanhaém Launch,Itanhaém,Contato 26,Gerente,lead126@exemplo.com,(13) 99999-1026,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,76,Automação,R$ 1-3k/mês,parceiro,Itanhaém,08/07/2026,21,08/07/2026,08/07/2026
127,Peruíbe Platinum,Peruíbe,Contato 27,Gerente,lead127@exemplo.com,(13) 99999-1027,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,77,Automação,R$ 1-3k/mês,parceiro,Peruíbe,08/07/2026,22,08/07/2026,08/07/2026
128,Mongaguá Connect,Mongaguá,Contato 28,Gerente,lead128@exemplo.com,(13) 99999-1028,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,78,Automação,R$ 1-3k/mês,parceiro,Mongaguá,08/07/2026,23,08/07/2026,08/07/2026
129,Ubatuba View,Ubatuba,Contato 29,Gerente,lead129@exemplo.com,(13) 99999-1029,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,79,Automação,R$ 1-3k/mês,parceiro,Ubatuba,08/07/2026,24,08/07/2026,08/07/2026
130,Ilhabela Center,Ilhabela,Contato 30,Gerente,lead130@exemplo.com,(13) 99999-1030,imobiliaria,contato_inicial_enviado,aumentar captação,chatbot,Google Maps,80,Automação,R$ 1-3k/mês,parceiro,Ilhabela,08/07/2026,20,08/07/2026,08/07/2026
131,Santos Premium,Santos,Contato 31,Gerente,lead131@exemplo.com,(13) 99999-1031,imobiliaria,novo,aumentar captação,chatbot,Google Maps,81,Automação,R$ 1-3k/mês,parceiro,Santos,08/07/2026,21,,
132,Guarujá Digital,Guarujá,Contato 32,Gerente,lead132@exemplo.com,(13) 99999-1032,imobiliaria,novo,aumentar captação,chatbot,Google Maps,82,Automação,R$ 1-3k/mês,parceiro,Guarujá,08/07/2026,22,,
133,Praia Grande Tech,Praia Grande,Contato 33,Gerente,lead133@exemplo.com,(13) 99999-1033,imobiliaria,novo,aumentar captação,chatbot,Google Maps,83,Automação,R$ 1-3k/mês,parceiro,Praia Grande,08/07/2026,23,,
