nome,email,telefone,cidade,assunto,mensagem,origem,dia_envio,followup_72h,followup_7d,call_15min
Sol Nascente Imóveis,contato@ssolnascente.com.br,(11) 99741-5843,Praia Grande,Parceria Praia Digital — Praia Grande + IA,"Famílias buscam segurança e praticidade no Praia Grande. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Maré Alta Imóveis,contato@smarealta.com.br,(11) 98257-3494,Costa Verde,Parceria Praia Digital — Costa Verde + IA,Clientes de alto padrão no Costa Verde esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver na prática?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Costa Branca Imóveis,contato@scostabranca.com.br,(11) 98953-9445,Praia Sul,Parceria Praia Digital — Praia Sul + IA,"Famílias buscam segurança e praticidade no Praia Sul. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Vista Mar Imóveis,contato@svistamar.com.br,(11) 99446-7744,Litoral Norte,Parceria Praia Digital — Litoral Norte + IA,Verão no Litoral Norte movimenta vendas. Automatize captação e feche mais antes da temporada começar. Demo de 15min?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Praia Dourada Imóveis,contato@spraiadourada.com.br,(11) 99145-9373,Praia Sul,Parceria Praia Digital — Praia Sul + IA,"Famílias buscam segurança e praticidade no Praia Sul. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Recanto do Sol Imóveis,contato@srecantodosol.com.br,(11) 99183-5439,Centro Hist.,Parceria Praia Digital — Centro Hist. + IA,Imóveis comerciais no Centro Hist. tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Maré Azul Imóveis,contato@smareazul.com.br,(11) 98209-9548,Barra Norte,Parceria Praia Digital — Barra Norte + IA,Picos de temporada no Barra Norte exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Brisa do Litoral Imóveis,contato@sbrisadolitoral.com.br,(11) 98800-6546,Vila Mar,Parceria Praia Digital — Vila Mar + IA,Imóveis comerciais no Vila Mar tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Costa do Sol Imóveis,contato@scostadosol.com.br,(11) 99919-9687,Brisa do Mar,Parceria Praia Digital — Brisa do Mar + IA,Picos de temporada no Brisa do Mar exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Vila Mariana Imóveis,contato@svilamariana.com.br,(11) 99046-8259,Praia Grande,Parceria Praia Digital — Praia Grande + IA,"Famílias buscam segurança e praticidade no Praia Grande. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Porto Belo Imóveis,contato@sportobelo.com.br,(11) 98429-6482,Costa Dourada,Parceria Praia Digital — Costa Dourada + IA,Investidores no Costa Dourada buscam dados rápidos e avaliações precisas. Nossa ferramenta entrega isso em 1 clique. Vamos testar?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Maré Viva Imóveis,contato@smareviva.com.br,(11) 99737-9392,Porto da Lua,Parceria Praia Digital — Porto da Lua + IA,A temporada no Porto da Lua já começou e cada hora sem resposta é lead perdido. Nossa assistente virtual responde em segundos 24/7. Quer testar gratuitamente por 15 dias?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Praia Verde Imóveis,contato@spraiaverde.com.br,(11) 99827-6462,Costa Verde,Parceria Praia Digital — Costa Verde + IA,Clientes de alto padrão no Costa Verde esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver na prática?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Costa Serena Imóveis,contato@scostaserena.com.br,(11) 98577-2510,Barra Norte,Parceria Praia Digital — Barra Norte + IA,Picos de temporada no Barra Norte exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
Maré Alta Prime Imóveis,contato@smarealtaprime.com.br,(11) 99504-3746,Porto da Lua,Parceria Praia Digital — Porto da Lua + IA,A temporada no Porto da Lua já começou e cada hora sem resposta é lead perdido. Nossa assistente virtual responde em segundos 24/7. Quer testar gratuitamente por 15 dias?,batch-30-emails-2026-07-10.csv,2026-07-10,2026-07-13,2026-07-17,Sim
