grupo,url,tema,intencao,papel_atual,acao_recomendada,url_canonica_candidata,conteudo_a_preservar,conteudo_a_absorver,risco
Escritura/registro,blog/escritura-registro-imovel-litoral-passo-passo-2026.html,Escritura e registro,Guia passo a passo,Canônica forte,MANTER,blog/escritura-registro-imovel-litoral-passo-passo-2026.html,"Passos, documentos, cartório, prazos",Custos detalhados da outra página,BAIXO
Escritura/registro,blog/escritura-imovel-litoral-passos-custos-2026.html,Escritura e custos,Passos e custos,Duplicidade,REDIRECIONAR — PROPOSTA,blog/escritura-registro-imovel-litoral-passo-passo-2026.html,Seção de custos/itbi/registro,–,MÉDIO
Financiamento,blog/financiamento-imoveis-litoral-guia.html,Financiamento geral,Guia principal,Canônica natural,MANTER,blog/financiamento-imoveis-litoral-guia.html,"Visão geral, tipos, dicas, aprovação",Trechos específicos das páginas 2026,BAIXO
Financiamento,blog/financiamento-imobiliario-litoral-guia-2026.html,Financiamento litoral,Guia regional,Duplicidade,REDIRECIONAR — PROPOSTA,blog/financiamento-imoveis-litoral-guia.html,Exemplos litoral se únicos,–,MÉDIO
Financiamento,blog/financiamento-imoveis-litoral-paulista-guia-2026.html,Financiamento litoral paulista,Guia estadual,Duplicidade,REDIRECIONAR — PROPOSTA,blog/financiamento-imoveis-litoral-guia.html,Abrangência estadual se relevante,–,MÉDIO
Avaliação,blog/avaliacao-preco-imoveis-litoral.html,Avaliação de preço,Serviço/conteúdo,Canônica forte,MANTER,blog/avaliacao-preco-imoveis-litoral.html,"Métodos, mercado, precificação, checklist",Comparativos/métodos da outra página,BAIXO
Avaliação,blog/avaliacao-preco-mercado-litoral.html,Avaliação mercado,Conteúdo genérico,Duplicidade,REDIRECIONAR — PROPOSTA,blog/avaliacao-preco-imoveis-litoral.html,Método comparativo se único,–,MÉDIO
Documentação compra,blog/documentacao-compra-imovel-litoral-guia-2026.html,Documentação compra,Guia completo,Canônica preferencial,MANTER,blog/documentacao-compra-imovel-litoral-guia-2026.html,"Listagem por etapa, prazos, documentos",Checklist resumido da outra página,BAIXO
Documentação compra,blog/documentos-essenciais-compra-imovel-litoral-2026.html,Documentos essenciais,Checklist/guia,Relacionado,CONSOLIDAR,blog/documentacao-compra-imovel-litoral-guia-2026.html,"Checklist direto, exemplos práticos, erros comuns",–,MÉDIO
Documentação genérica,blog/documentacao-completa-imovel-2026.html,Documentação completa,Genérica,Hub fraco,OBSERVAR,CANÔNICA INDEFINIDA — REVISÃO NECESSÁRIA,Visão genérica se única,–,ALTO
Hub introdutório,blog/biblioteca-contratos-documentos-imobiliaria.html,Biblioteca contratos,Hub introdutório,Possível hub,EXPANDIR,blog/biblioteca-contratos-documentos-imobiliaria.html,"Lista de contratos/modelos, uso por estágio",Guias especializados quando distintos,MÉDIO
Documentação venda,blog/documentacao-venda-imovel-litoral-passos-2026.html,Documentação venda,Passos venda,Canônica preferencial,MANTER,blog/documentacao-venda-imovel-litoral-passos-2026.html,"Passos, documentos, prazos",–,BAIXO
Documentação venda,blog/documentos-venda-imovel-litoral-checklist-2026.html,Checklist venda,Checklist,Relacionado,MANTER,blog/documentos-venda-imovel-litoral-checklist-2026.html,Checklist direto,–,BAIXO
Financiamento,blog/documentacao-financiamento-imovel-litoral-2026.html,Documentação financiamento,Ligação natural,Relacionado,MANTER,blog/documentacao-financiamento-imovel-litoral-2026.html,"Documentos por etapa, prazos",–,BAIXO
Financiamento,blog/documentos-necessarios-financiamento-imovel-2026.html,Documentos financiamento,Página específica,Relacionado,MANTER,blog/documentos-necessarios-financiamento-imovel-2026.html,Lista de documentos,–,BAIXO
Financiamento,blog/entrada-vs-financiamento-imovel-litoral-2026.html,Entrada vs financiamento,Intenção distinta,Relacionado,MANTER,blog/entrada-vs-financiamento-imovel-litoral-2026.html,"Comparativo, exemplos",–,BAIXO
Avaliação,blog/avaliacao-rapida-imovel.html,Avaliação rápida,Serviço claro,Relacionado,MANTER,blog/avaliacao-rapida-imovel.html,"Fluxo rápido, entrega",–,BAIXO
