lead_id,city,bairro,tipo_cliente,nome_empresa,url,canal_contato,servico_potencial,evidencia,score,status,d0_enviado_em,d2_enviado_em,d5_enviado_em,d10_enviado_em,resposta,data_resposta,tipo_resposta,servico_interesse,valor_potencial,estagio,proxima_acao,responsavel,objeção
31-alt,Bertioga,Riviera de São Lourenço,proprietário,Desconhecido,https://sp.olx.com.br/baixada-santista-e-litoral-sul/temporada/casa-riviera-de-sao-lourenco-mod-28-alt-1503706549,OLX,Fotografia + Edição de anúncio,Casa Riviera mod 28 alternativa; anúncio direto proprietário; potencial alto,76,NOVO_ESTOQUE,,,,,,,,,,,,,
32,São Sebastião,Barra do Sul,proprietário,Desconhecido,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/temporada/casa-barra-do-sul-sao-sebastiao-152999999,OLX,Fotografia + Edição de anúncio,Casa Barra do Sul; anúncio básico; avaliar qualidade de fotos/preço,72,NOVO_ESTOQUE,,,,,,,,,,,,,
33,Bertioga,Centro,proprietário,Desconhecido,https://www.instagram.com/reel/DI9xK5mN3pR/,Instagram,Administração Airbnb,Casa Centro Bertioga; diária promocional pública; gestão manual esperada,74,NOVO_ESTOQUE,,,,,,,,,,,,,
34-alt,São Sebastião,Boiçucanga,proprietário,Desconhecido,https://www.zapimoveis.com.br/aluguel/imoveis/sp+sao-sebastiao/direto-com-proprietario-boi/,Zap Imóveis,Edição de anúncio + SEO local,Aluguel direto proprietário Boiçucanga; oportunidade de profissionalizar anúncio,78,NOVO_ESTOQUE,,,,,,,,,,,,,
35,Bertioga,Enseada,proprietário,Desconhecido,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/bertioga/praia-da-enseada-139114-casa-bertioga-c-piscina-3-quartos,TemporadaLivre,Fotografia + Edição de anúncio,Casa Enseada 3 quartos piscina; sem preço cadastrado; alta oportunidade,80,NOVO_ESTOQUE,,,,,,,,,,,,,
12,Bertioga,Riviera de São Lourenço,proprietário,Desconhecido,https://sp.olx.com.br/baixada-santista-e-litoral-sul/temporada/casa-riviera-de-sao-lourenco-mod-28-1503706548,OLX,Fotografia + Edição de anúncio,Casa Riviera mod 28; anúncio direto proprietário; potencial alto,76,NOVO_ESTOQUE,B,,,,,,,,,,,,,
16,Bertioga,Centro,proprietário,Desconhecido,https://www.facebook.com/groups/1561214997502063/posts/4254440394846163/,Facebook,Edição de anúncio + Administração Airbnb,WhatsApp público; aluguel temporada centro; sem sinal de profissionalização,74,NOVO_ESTOQUE,B,,,,,,,,,,,,,
18,São Sebastião,Barequeçaba,proprietário,Desconhecido,https://www.facebook.com/locacoestemporadabare/videos/569309555572199/,Facebook,Fotografia + Edição de anúncio,Vídeo com casas na praia Barequeçaba; contato WhatsApp; boa chance de fotografia profissional,77,NOVO_ESTOQUE,B,,,,,,,,,,,,,
26,Bertioga,Centro/Bertioga,proprietário/anfitrião,Casas Roxa,https://www.instagram.com/reel/DD66GLdJ3mL/,Instagram,Fotografia + Edição de anúncio,Casa piscina Bertioga com WhatsApp público e diária promocional; gestão manual/apresentação amadora esperada,81,NOVO_ESTOQUE,A,,,,,,,,,,,,,
30,Bertioga,Indaiá,proprietário,Desconhecido,https://sp.olx.com.br/baixada-santista-e-litoral-sul/temporada/casa-aconchegante-3-quartos-a-600m-da-praia-de-indaia-bertioga-402686765,OLX,Administração Airbnb + Fotografia + Edição de anúncio,Casa 3 quartos 600m praia Indaiá; direto proprietário; gestão manual esperada; apresentação pode ser profissionalizada,78,NOVO_ESTOQUE,B,,,,,,,,,,,,,
