slug,title,city,type,price,bedrooms,area,image,description,tags
apartamento-vista-mar-santos,Apartamento Vista Mar Santos,Santos,Apartamento,850000,,,img/santos-apartamento-vista-mar.png,Apartamento com varanda e vista mar em Santos.,
cobertura-duplex-santos,Cobertura Duplex Santos,Santos,Cobertura,2100000,,,img/santos-cobertura-duplex.png,Cobertura duplex com piscina privativa.,
terreno-santos,Terreno Santos,Santos,Terreno,950000,,,img/santos-terreno-alto-padrao.png,Terreno alto padrão perto da orla.,
sobrado-guaruja,Sobrado Guaruja,Guarujá,Casa,620000,,,img/guaruja-sobrado.png,Sobrado em condomínio fechado no Guarujá.,
apartamento-pitangueiras,Apartamento Pitangueiras,Guarujá,Apartamento,620000,,,img/guaruja-sobrado.png,Apartamento em Pitangueiras; Guarujá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
casa-pitangueiras,Casa Pitangueiras,Guarujá,Casa,620000,,,img/guaruja-sobrado.png,Casa em Pitangueiras; Guarujá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
studio-praia-grande,Studio Praia Grande,Praia Grande,Studio,280000,,,img/pg-studio.png,Studio mobiliado a 2 quadras da praia.,
apartamento-guilhermina,Apartamento Guilhermina,Praia Grande,Apartamento,280000,,,img/pg-studio.png,Apartamento em Guilhermina; Praia Grande. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
casa-guilhermina,Casa Guilhermina,Praia Grande,Casa,280000,,,img/pg-studio.png,Casa em Guilhermina; Praia Grande. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
terreno-itanhaem,Terreno Itanhaém,Itanhaém,Terreno,180000,,,img/itanhaem-terreno.png,Terreno em loteamento aprovado.,
apartamento-centro,Apartamento Centro,Itanhaém,Apartamento,180000,,,img/itanhaem-terreno.png,Apartamento em Centro; Itanhaém. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
casa-centro,Casa Centro,Itanhaém,Casa,180000,,,img/itanhaem-terreno.png,Casa em Centro; Itanhaém. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
apartamento-mongagua,Apartamento Mongaguá,Mongaguá,Apartamento,340000,,,img/mongagua-apartamento.png,Apartamento compacto com pé direito duplo.,
apartamento-centro,Apartamento Centro,Mongaguá,Apartamento,340000,,,img/mongagua-apartamento.png,Apartamento em Centro; Mongaguá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
casa-centro,Casa Centro,Mongaguá,Casa,340000,,,img/mongagua-apartamento.png,Casa em Centro; Mongaguá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
casa-sao-vicente,Casa São Vicente,São Vicente,Casa,520000,,,img/sv-casa-terrea.png,Casa térrea com quintal grande.,
apartamento-centro,Apartamento Centro,São Vicente,Apartamento,520000,,,img/sv-casa-terrea.png,Apartamento em Centro; São Vicente. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
casa-centro,Casa Centro,São Vicente,Casa,520000,,,img/sv-casa-terrea.png,Casa em Centro; São Vicente. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
chacara-peruibe,Chácara Peruíbe,Peruíbe,Casa,750000,,,img/peruibe-chacara.png,Chácara com pomar e piscina.,
apartamento-centro,Apartamento Centro,Peruíbe,Apartamento,750000,,,img/peruibe-chacara.png,Apartamento em Centro; Peruíbe. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
casa-centro,Casa Centro,Peruíbe,Casa,750000,,,img/peruibe-chacara.png,Casa em Centro; Peruíbe. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
apartamento-bertioga,Apartamento Bertioga,Bertioga,Apartamento,410000,,,img/bertioga-apartamento.png,Apartamento novo em condomínio com lazer.,
apartamento-riviera,Apartamento Riviera,Bertioga,Apartamento,410000,,,img/bertioga-apartamento.png,Apartamento em Riviera; Bertioga. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
casa-riviera,Casa Riviera,Bertioga,Casa,410000,,,img/bertioga-apartamento.png,Casa em Riviera; Bertioga. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
apartamento-centro-sao-vicente,Apartamento Centro; São Vicente,São Vicente,Apartamento,850000,,,img/sv-casa-terrea.png,Apartamento em Centro; São Vicente. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
apartamento-asturias-guaruja,Apartamento Astúrias; Guarujá,Guarujá,Apartamento,850000,,,img/guaruja-sobrado.png,Apartamento em Astúrias; Guarujá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
cobertura-vila-tupi-praia-grande,Cobertura Vila Tupi; Praia Grande,Praia Grande,Cobertura,2100000,,,img/pg-studio.png,Cobertura em Vila Tupi; Praia Grande. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
cobertura-trevo-peruibe,Cobertura Trevo; Peruíbe,Peruíbe,Cobertura,2100000,,,img/peruibe-chacara.png,Cobertura em Trevo; Peruíbe. Perfeito para quem busca conforto e localização estratégica no litoral de SP.,
