nome,email,telefone,cidade,site,origem,dor, dia_envio,followup_72h,followup_7d,call_15min
Agência Mar Azul,contato@marazul.com.br,(11) 90000-0001,Porto da Lua,www.marazul.com.br,Indicação,Temporada,2026-07-10,2026-07-13,2026-07-17,Sim
Imobiliária Costa Bravo,contato@costabravo.com.br,(11) 90000-0002,Praia Grande,www.costabravo.com.br,Google,Temporada,2026-07-10,2026-07-13,2026-07-17,Sim
Blue Coast Properties,contato@bluecoast.com.br,(11) 90000-0003,Porto da Lua,www.bluecoast.com.br,Indicação,Luxo,2026-07-10,2026-07-13,2026-07-17,Sim
Atlantic Home,contato@atlantichome.com.br,(11) 90000-0004,Porto da Lua,www.atlantichome.com.br,Instagram,Temporada,2026-07-10,2026-07-13,2026-07-17,Não
Litoral Prime,contato@litoralprime.com.br,(11) 90000-0005,Praia Grande,www.litoralprime.com.br,Google,Temporada,2026-07-10,2026-07-13,2026-07-17,Sim
Verão Imóveis,contato@veraoimoveis.com.br,(11) 90000-0006,Porto da Lua,www.veraoimoveis.com.br,Indicação,Luxo,2026-07-10,2026-07-13,2026-07-17,Não
Beach Properties,contato@beachproperties.com.br,(11) 90000-0007,Porto da Lua,www.beachproperties.com.br,Google,Luxo,2026-07-10,2026-07-13,2026-07-17,Sim
Sun Coast,contato@suncoast.com.br,(11) 90000-0008,Praia Grande,www.suncoast.com.br,Instagram,Temporada,2026-07-10,2026-07-13,2026-07-17,Não
Wave Realty,contato@waverealty.com.br,(11) 90000-0009,Porto da Lua,www.waverealty.com.br,Indicação,Luxo,2026-07-10,2026-07-13,2026-07-17,Sim
Golden Beach,contato@goldenbeach.com.br,(11) 90000-0010,Porto da Lua,www.goldenbeach.com.br,Google,Temporada,2026-07-10,2026-07-13,2026-07-17,Não
