id,nome_da_imobiliaria,cidade,pessoa_de_contato,email,perfil,dor_principal,diferencial,pontuacao_lead,objetivo_90_dias,orcamento_estimado,tom
51,Litoral Premium Sant,Santos,Roberto Dias,contato36@exemplo.com,construtora,conversao,chatbot,91,Aumentar captação,R$ 1-3k/mês,parceiro
66,Santos Ocean View,Santos,Tatiane Moreira,contato66@exemplo.com,construtora,leads,chatbot,93,Automação,R$ 1-3k/mês,parceiro
76,Santos Premium Digital,Santos,Viviane Paes,contato76@exemplo.com,construtora,leads,chatbot,94,Aumentar captação,R$ 1-3k/mês,parceiro
91,Santos Tower Imóveis,Santos,Helena Vaz,contato91@exemplo.com,construtora,leads,chatbot,96,Aumentar captação,R$ 1-3k/mês,parceiro
101,Santos Luxo,Santos,Isabela Fernandes,contato101@exemplo.com,construtora,leads,chatbot,95,Aumentar captação,R$ 1-3k/mês,parceiro
121,Santos Smart Home,Santos,Mariana Costa,contato121@exemplo.com,construtora,leads,chatbot,97,Aumentar captação,R$ 1-3k/mês,parceiro
141,Santos Executive,Santos,Roberto Dias,contato141@exemplo.com,construtora,leads,chatbot,97,Aumentar captação,R$ 1-3k/mês,parceiro
161,Santos Bay Homes,Santos,Patrícia Gomes,contato161@exemplo.com,construtora,leads,chatbot,96,Aumentar captação,R$ 1-3k/mês,parceiro
176,Santos Launch,Santos,Renata Almeida,contato176@exemplo.com,construtora,leads,chatbot,97,Aumentar captação,R$ 1-3k/mês,parceiro
186,Santos Platinum,Santos,Roberto Dias,contato186@exemplo.com,construtora,leads,chatbot,98,Aumentar captação,R$ 1-3k/mês,parceiro
201,Santos Elite,Santos,Viviane Paes,contato201@exemplo.com,construtora,leads,chatbot,98,Aumentar captação,R$ 1-3k/mês,parceiro
216,Santos Prime,Santos,Helena Vaz,contato216@exemplo.com,construtora,leads,chatbot,99,Aumentar captação,R$ 1-4k/mês,parceiro
8,Ocean Blue Digital,Guarujá,Maria Barros,contato8@exemplo.com,construtora,atendimento,chatbot,84,Relatórios,R$ 1-3k/mês,direto
24,Praia Grande Imóveis,Praia Grande,Ricardo Barros,contato24@exemplo.com,construtora,leads,chatbot,81,Aumentar captação,R$ 1-3k/mês,parceiro
41,Cibratel Imóveis,Itanhaém,Teresa Almeida,contato41@exemplo.com,construtora,atendimento,seo,82,Relatórios,R$ 1-3k/mês,parceiro
129,Riviera Business,Bertioga,Larissa Barros,contato129@exemplo.com,construtora,leads,anuncios,80,SEO local,R$ 1-3k/mês,formal
184,Riviera Launch,Bertioga,Larissa Nunes,contato184@exemplo.com,construtora,leads,anuncios,80,SEO local,R$ 1-3k/mês,formal
194,Riviera Platinum,Bertioga,Gustavo Nunes,contato194@exemplo.com,construtora,leads,anuncios,81,SEO local,R$ 1-3k/mês,formal
209,Riviera Elite,Bertioga,Isabela Costa,contato209@exemplo.com,construtora,leads,anuncios,82,SEO local,R$ 1-3k/mês,formal
6,Beta Imóveis Centro,Santos,Fernanda Nunes,contato6@exemplo.com,construtora,conversao,seo,90,Relatórios,R$ 0.5-2k/mês,parceiro
10,Região Sul Praia,Peruíbe,Carlos Barros,contato10@exemplo.com,construtora,leads,anuncios,90,Automação,R$ 0.5-2k/mês,parceiro
21,Litoral Norte Premium,Santos,Mariana Costa,contato21@exemplo.com,construtora,conversao,chatbot,72,Aumentar captação,R$ 1-3k/mês,parceiro
34,Caiçara Imóveis,Praia Grande,Luciana Souza,contato34@exemplo.com,imobiliaria,leads,chatbot,92,Automação,R$ 1-3k/mês,parceiro
54,Praia Grande Norte,Praia Grande,Fernanda Lima,contato39@exemplo.com,construtora,leads,chatbot,78,Automação,R$ 1-3k/mês,parceiro
59,Riviera Norte,Bertioga,Mariana Costa,contato44@exemplo.com,construtora,leads,anuncios,71,SEO local,R$ 1-3k/mês,formal
64,Caiçara Norte,Praia Grande,Luciana Dias,contato49@exemplo.com,imobiliaria,leads,chatbot,95,Automação,R$ 1-3k/mês,parceiro
74,Riviera Digital,Bertioga,Larissa Costa,contato74@exemplo.com,construtora,leads,anuncios,73,SEO local,R$ 1-3k/mês,formal
89,Caiçara Digital,Praia Grande,Patrícia Lima,contato89@exemplo.com,imobiliaria,leads,chatbot,93,Automação,R$ 1-3k/mês,parceiro
99,Riviera Exclusive,Bertioga,Natália Almeida,contato99@exemplo.com,construtora,leads,anuncios,76,SEO local,R$ 1-3k/mês,formal
109,Riviera Exclusive,Bertioga,Larissa Gomes,contato109@exemplo.com,construtora,leads,anuncios,79,SEO local,R$ 1-3k/mês,formal
114,Caiçara Imóveis,Praia Grande,Luciana Dias,contato114@exemplo.com,imobiliaria,leads,chatbot,94,Automação,R$ 1-3k/mês,parceiro
134,Caiçara Conectada,Praia Grande,Marcelo Lima,contato134@exemplo.com,imobiliaria,leads,chatbot,95,Automação,R$ 1-3k/mês,parceiro
149,Riviera Executive,Bertioga,Gustavo Nunes,contato149@exemplo.com,construtora,leads,anuncios,76,SEO local,R$ 1-3k/mês,formal
154,Caiçara Executive,Praia Grande,Marcelo Dias,contato154@exemplo.com,imobiliaria,leads,chatbot,94,Automação,R$ 1-3k/mês,parceiro
169,Riviera Exclusive,Bertioga,Larissa Ferreira,contato169@exemplo.com,construtora,leads,anuncios,78,SEO local,R$ 1-3k/mês,formal
174,Caiçara Conectada,Praia Grande,Luciana Dias,contato174@exemplo.com,imobiliaria,leads,chatbot,95,Automação,R$ 1-3k/mês,parceiro
199,Caiçara Platinum,Praia Grande,Marcelo Dias,contato199@exemplo.com,imobiliaria,leads,chatbot,96,Automação,R$ 1-3k/mês,parceiro
212,Embaré Elite,Santos,Rafaela Nunes,contato212@exemplo.com,construtora,conversao,seo,90,Relatórios,R$ 0.5-2k/mês,parceiro
214,Caiçara Elite,Praia Grande,Patrícia Lima,contato214@exemplo.com,imobiliaria,leads,chatbot,97,Automação,R$ 1-3k/mês,parceiro
15,Prime Imóveis Digital,Guarujá,Ricardo Lima,contato15@exemplo.com,construtora,atendimento,avaliacao,61,Relatórios,R$ 1-3k/mês,direto
