arquivo_origem,link_atual,tipo_de_destino,destino_sugerido,confianca_sugestao,motivo,acao_recomendada
blog/assinatura-profissional-corretores-litoral-2026.html,backup/meta-descriptions/plano-assinatura-profissionais-imobiliaria-2026.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/captacao-imoveis-inverno-litoral-2026.html,docs/materiais/checklist-captacao-temporada.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/contrato-compra-venda-imovel-litoral-2026.html,docs/materiais/modelo-contrato-compra-venda-imovel-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/crm-gratis-corretores-litoral-2026.html,../checklist-followup-corretores-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/crm-para-corretores-primeiro-contato-fechamento.html,../blog.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/crm-para-corretores-primeiro-contato-fechamento.html,../cursos.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/documentacao-compra-imovel-litoral-paulista-2026.html,../checklist-primeiro-imovel-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/faq-site-imobiliarias-litoral-2026.html,../faq-termos-privacidade.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/financiamento-imobiliario-litoral-passo-passo-2026.html,../checklist-primeiro-imovel-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/fluxo-captacao-imoveis-sem-invasivo-litoral-2026.html,docs/materiais/checklist-captacao-temporada.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/followup-whatsapp-corretores-litoral-2026.html,../checklist-followup-corretores-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/governanca-compliance-imobiliarias-litoral-2026.html,docs/materiais/modelo-termo-uso-site-imobiliario-litoral-2026.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/mapas-bairros-seo-imobiliarias-litoral-2026.html,../neighborhood.html,interno,,BAIXA,destino não encontrado,revisar_manual
blog/nps-imobiliarias-litoral-paulista-2026.html,docs/materiais/modelo-pesquisa-nps-imobiliaria-litoral-2026.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/satisfacao-cliente-imobiliarias-litoral-2026.html,docs/materiais/modelo-pesquisa-satisfacao-imobiliaria-litoral-2026.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/swot-imobiliaria-litoral-paulista-2026.html,docs/materiais/modelo-swot-imobiliaria-litoral-2026.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/treinamento-corretores-imoveis-litoral-2026.html,../script-ligacao-corretores-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
blog/treinamento-corretores-imoveis-litoral-2026.html,../guia-apresentacao-imoveis-litoral.md,interno,,BAIXA,Markdown linkado como página,revisar_manual
