titulo,url,caracteristicas,justificativa
Casa 258m² Boiçucanga,https://www.vivareal.com.br/imovel/casa-3-quartos-boicucanga-bairros-sao-sebastiao-com-garagem-258m2-venda-RS940000-id-2820772519/,"258m², 3 quartos, 2 banheiros, 8 vagas","Potencial para temporada; anunciante identificável; contato público"
Casa condomínio 200m² piscina,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-boicucanga-sao-sebastiao-200m2-id-2560675150/,"200m², 3 suítes, piscina, 1 vaga","Condomínio fechado; piscina; perfil alto para temporada"
Casa 100m² 2 quartos,https://www.vivareal.com.br/imovel/casa-2-quartos-boicucanga-sao-sebastiao-com-garagem-100m2-venda-RS490000-id-2899129296/,"100m², 2 quartos, 2 banheiros, 1 vaga","Entry-level; preço acessível; fácil profissionalizar"
Casa condomínio 60m² 2 quartos,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-boicucanga-sao-sebastiao-60m2-id-2830008622/,"60m², 2 quartos, 2 banheiros, 2 vagas","Compacto; atende casais/pequenos grupos"
Casa 450m² Avenida Walkir Vergani,https://www.imovelweb.com.br/casas-sobrado-venda-boicucanga-areac-piscina-ordem-precio-menor.html,"450m², 3 quartos, piscina, 3 vagas","Área grande; piscina; avenida principal"
Casa condomínio fechado 275m² Estrada do Cascalho,https://www.imovelweb.com.br/casas-venda-boicucanga-drc-estrada-do-cascalho.html,"275m², 3 quartos, 4 banheiros, 2 vagas","Condomínio fechado; área grande; perfil premium"
Flat centro Boiçucanga,https://www.instagram.com/p/DbTl0-BkeO1/,"Flat; centro de Boiçucanga","Preço baixo; flat moderno; fácil profissionalizar"
Boiçucanga Beach House,https://www.airbnb.com/rooms/1601759520695379175,"Casa para temporada","Airbnb existente; possível ganho rápido com otimização"
Chalé Litoral Norte,https://www.facebook.com/chalelitoralnorte/,"Casa/chalé; temporada","Presença no Facebook + Airbnb; possível ausência de estrutura profissional"
Casa condomínio 3 suíites 130m² Boiçucanga,https://www.zapimoveis.com.br/venda/casas-de-condominio/sp+sao-sebastiao++boicucanga/3-quartos/,"130m², 3 suítes, piscina","Condomínio; piscina; perfil alto para temporada"
