day,file,to,subject,body
day1,envio-10.html,contato10@exemplo.com,Envio automatico para Regiao Sul Praia | Praia Digital,"Envio automatico para Regiao Sul Praia | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{displ"
day1,envio-101.html,contato101@exemplo.com,Envio automatico para Santos Luxo | Praia Digital,"Envio automatico para Santos Luxo | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{display:in"
day1,envio-109.html,contato109@exemplo.com,Proposta de parceria — Bertioga | Praia Digital,"Proposta de parceria — Bertioga | Praia Digital body {font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header {background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-alig"
day1,envio-121.html,contato121@exemplo.com,Envio automatico para Santos Smart Home | Praia Digital,"Envio automatico para Santos Smart Home | Praia Digital 📤""> *{box-sizing:border-box;margin:0;padding:0} body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;line-height:1.6;padding:2rem} .container{max-width:920"
day1,envio-129.html,contato129@exemplo.com,Envio automatico para Riviera Business | Praia Digital,"Envio automatico para Riviera Business | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{displ"
day1,envio-141.html,contato141@exemplo.com,Envio automatico para Santos Executive | Praia Digital,"Envio automatico para Santos Executive | Praia Digital 📤""> *{box-sizing:border-box;margin:0;padding:0} body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;line-height:1.6;padding:2rem} .container{max-width:920p"
day1,envio-161.html,contato161@exemplo.com,Envio automatico para Santos Bay Homes | Praia Digital,"Envio automatico para Santos Bay Homes | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{displ"
day1,envio-176.html,contato176@exemplo.com,Envio automatico para Santos Launch | Praia Digital,"Envio automatico para Santos Launch | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{display:"
day1,envio-184.html,contato184@exemplo.com,Envio automatico para Riviera Launch | Praia Digital,"Envio automatico para Riviera Launch | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{display"
day1,envio-186.html,contato186@exemplo.com,Envio automatico para Santos Platinum | Praia Digital,"Envio automatico para Santos Platinum | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{displa"
day1,envio-194.html,contato194@exemplo.com,Envio automatico para Riviera Platinum | Praia Digital,"Envio automatico para Riviera Platinum | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{displ"
day1,envio-201.html,contato176@exemplo.com,Envio automatico para Santos Launch | Praia Digital,"Envio automatico para Santos Launch | Praia Digital 📤""> *{box-sizing:border-box;margin:0;padding:0} body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;line-height:1.6;padding:2rem} .container{max-width:920px;m"
day1,envio-209.html,contato209@exemplo.com,Envio automatico para Riviera Elite | Praia Digital,"Envio automatico para Riviera Elite | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{display:"
day1,envio-21.html,contato21@exemplo.com,Envio automatico para Litoral Norte Premium | Praia Digital,"Envio automatico para Litoral Norte Premium | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{"
day1,envio-216.html,contato216@exemplo.com,Envio automatico para Santos Prime | Praia Digital,"Envio automatico para Santos Prime | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{display:i"
day1,envio-24.html,contato24@exemplo.com,Envio automatico para Praia Grande Imoveis | Praia Digital,"Envio automatico para Praia Grande Imoveis | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{d"
day1,envio-242.html,contato242@exemplo.com,Proposta — Itanhaém/Itanhaém | Praia Digital,"Proposta — Itanhaém/Itanhaém | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day1,envio-243.html,contato243@exemplo.com,Proposta — Itanhaém/Itanhaém | Praia Digital,"Proposta — Itanhaém/Itanhaém | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day1,envio-244.html,contato244@exemplo.com,Proposta — Praia Grande/Praia Grande | Praia Digital,"Proposta — Praia Grande/Praia Grande | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-a"
day1,envio-245.html,contato245@exemplo.com,Proposta — Santos/Santos | Praia Digital,"Proposta — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:center}"
day1,envio-246.html,contato246@exemplo.com,Proposta — Bertioga/Bertioga | Praia Digital,"Proposta — Bertioga/Bertioga | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day1,envio-247.html,contato247@exemplo.com,Proposta — Mongaguá/Mongaguá | Praia Digital,"Proposta — Mongaguá/Mongaguá | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day1,envio-248.html,contato248@exemplo.com,Proposta — Bertioga/Bertioga | Praia Digital,"Proposta — Bertioga/Bertioga | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day1,envio-249.html,contato249@exemplo.com,Proposta — Praia Grande/Praia Grande | Praia Digital,"Proposta — Praia Grande/Praia Grande | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-a"
day1,envio-34.html,contato34@exemplo.com,Envio automatico para Caiçara Imoveis | Praia Digital,"Envio automatico para Caiçara Imoveis | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{displa"
day1,envio-41.html,contato41@exemplo.com,Envio automatico para Cibratel Imoveis | Praia Digital,"Envio automatico para Cibratel Imoveis | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{displ"
