titulo,descricao,preco,cidade,tipo,imagem
Apartamento Vista Mar Santos,"Apartamento com varanda e vista mar em Santos.",850000,Santos,Apartamento,img/santos-apartamento-vista-mar.png
Cobertura Duplex Santos,"Cobertura duplex com piscina privativa.",2100000,Santos,Cobertura,img/santos-cobertura-duplex.png
Sobrado Guaruja,"Sobrado em condomínio fechado no Guarujá.",620000,Guarujá,Casa,img/guaruja-sobrado.png
Studio Praia Grande,"Studio mobiliado a 2 quadras da praia.",280000,Praia Grande,Studio,img/pg-studio.png
Terreno Itanhaém,"Terreno em loteamento aprovado.",180000,Itanhaém,Terreno,img/itanhaem-terreno.png
Apartamento Mongaguá,"Apartamento compacto com pé direito duplo.",340000,Mongaguá,Apartamento,img/mongagua-apartamento.png
Casa São Vicente,"Casa térrea com quintal grande.",520000,São Vicente,Casa,img/sv-casa-terrea.png
Chácara Peruíbe,"Chácara com pomar e piscina.",750000,Peruíbe,Casa,img/peruibe-chacara.png
Apartamento Bertioga,"Apartamento novo em condomínio com lazer.",410000,Bertioga,Apartamento,img/bertioga-apartamento.png
Terreno Santos,"Terreno alto padrão perto da orla.",950000,Santos,Terreno,img/santos-terreno-alto-padrao.png
