lead_id,observacao,problema_ou_oportunidade,solucao,beneficio,proximo_passo,preco,acao_humana_pendente
1,"Anúncio do Gumercindo em Bertioga com rating 4,0 e taxa de resposta 33%","Gestão manual e baixa responsividade reduzem ocupação e avaliação","Administração de Airbnb/temporada com governança de preço, disponibilidade, mensagens e check-in","Mais ocupação, avaliações melhores e menos operacional para o anfitrião","Mostrar diagnóstico rápido do anúncio atual e sugerir plano","R$ 700+","Sim — confirmação humana de proposta comercial"
2,"Tami Moreira anunciou em TemporadaLivre desde 2019, mas ainda não cadastrou preço","Anúncio sem preço reduz conversão e gera dúvida no interessado","Edição de anúncio com estrutura, SEO local, texto objetivo e proposta comercial clara","Mais cliques qualificados e redução de dúvidas pré-contrato","Enviar proposta de otimização do anúncio atual","R$ 700+","Sim — confirmar antes de enviar"
6,"Imóvel em Indaiá com aluguel direto por Instagram e diária divulgada publicamente","Apresentação visual e anúncio informal limitam confiança e escala","Fotografia imobiliária + edição de anúncio para posicionar oferta de forma profissional","Mais credibilidade, menos cancelamento e melhor percepção de valor","Coletar quantidade de ambientes e localização aproximada para briefing","R$ 700+","Sim — agendamento presencial depende de confirmação humana"
7,"Casa em Enseada com potencial alto, mas sem avaliação objetiva do anúncio atual","Falta de avaliação clara de qualidade do anúncio e das fotos","Fotografia + edição do anúncio e avaliação de SEO local","Apresentação mais forte e melhor posicionamento de busca","Pedir permissão para auditorar anúncio e fotos atuais","R$ 700+","Sim — follow-up humano sugerido"
lead_id,observacao,problema_ou_oportunidade,solucao,beneficio,proximo_passo,preco,acao_humana_pendente
9,"Casa em Juquehy com piscina, 4 quartos, anúncio direto no OLX","Proprietário gerencia sozinho, sem presença profissional","Fotografia imobiliária + edição do anúncio para destacar diferenciais","Mais reservas, preço justo e menos dúvidas","Pedir qtd de ambientes e melhor data para sessão","R$ 700+","Sim — agendamento presencial depende de confirmação humana"
10,"Apartamento Enseada, 5 min da praia, anúncio funcional mas pouco diferenciado","Falta profissionalizar fotos/descrição e SEO local","Edição de anúncio + sugestão de SEO local","Mais visibilidade e conversão","Solicitar permissão para sugerir ajustes no anúncio","R$ 700+","Sim — follow-up humano sugerido"
11,"Casa Indaiá 3 quartos 600m da praia, anúncio simples no OLX","Apresentação amadora pode reduzir confiança","Fotografia + edição do anúncio","Credibilidade, menos cancelamento e melhor percepção de valor","Coletar quantidade exata de ambientes e disponibilidade","R$ 700+","Sim — agendamento presencial depende de confirmação humana"
12,"Casa Riviera de São Lourenço Mod 28, anúncio básico no OLX","Falta de profissionalismo visual e descrição estruturada","Fotografia + edição do anúncio","Maior conversão e melhor posicionamento de busca","Pedir permissão para auditorar anúncio atual","R$ 700+","Sim — follow-up humano sugerido"
