lead_id,nome_contato,imobiliaria,cidade,data_call,link_call,resultado,observacao,proxima_acao,data_proxima_acao
1,Joe,Ancore Realty,Hollywood,2026-09-01,https://meet.example.com/ancore1,"interessado","Quer demo customizada","enviar_proposta",2026-09-03
2,Maria,Beachfront Brokers,Miami,2026-09-02,https://meet.example.com/beach2,"neutro","Precisa de aprovação interna","follow_up_7d",2026-09-09
3,Carlos,Coastal Home Sales,Miami Beach,2026-09-02,https://meet.example.com/coastal3,"fechado_parceria","Case combinado","onboarding",2026-09-05
4,Ana,Sandy Point Realty,Hallandale,2026-09-03,https://meet.example.com/sandy4,"interessado","Enviar contrato leve","enviar_contrato",2026-09-04
5,Roberto,Bluewater Real Estate,Fort Lauderdale,2026-09-04,https://meet.example.com/blue5,"rejeitado","Sem orçamento agora","follow_up_90d",2026-10-04
6,Julia,Palm Breeze Realty,Deerfield Beach,2026-09-04,https://meet.example.com/palm6,"interessado","Pediu relatório ROI","enviar_relatorio",2026-09-06
7,Paulo,Gulfstream Properties,Boca Raton,2026-09-05,https://meet.example.com/gulf7,"neutro","Sem dor clara","follow_up_14d",2026-09-19
8,Mariana,Seaside Living Realty,Boynton Beach,2026-09-05,https://meet.example.com/sea8,"interessado","Demo aprovada","onboarding",2026-09-08
9,Lucas,Reef Real Estate,Jupiter,2026-09-06,https://meet.example.com/reef9,"fechado_parceria","Aceitou caso conjunto","assinatura",2026-09-10
10,Aline,Atlantic View Homes,West Palm Beach,2026-09-06,https://meet.example.com/atl10,"neutro","Pediu referências","enviar_referencias",2026-09-08
11,Felipe,Coral Realty Group,Palm Beach,2026-09-07,https://meet.example.com/coral11,"interessado","Quer proposta comercial","enviar_proposta",2026-09-09
12,Tatiana,Shoreside Properties,Delray Beach,2026-09-07,https://meet.example.com/shore12,"rejeitado","Já usa concorrente","follow_up_180d",2026-11-04
13,Rafael,Saltwater Real Estate,Palm Beach Gardens,2026-09-08,https://meet.example.com/salt13,"interessado","Pediu case por cidade","enviar_case",2026-09-10
14,Gabriela,Bayfront Homes,Lake Worth,2026-09-08,https://meet.example.com/bay14,"neutro","Pediu prazo de teste","follow_up_14d",2026-09-22
15,Elisa,Driftwood Realty,Ocean Ridge,2026-09-09,https://meet.example.com/drift15,"interessado","Quer relatório de leads","enviar_relatorio",2026-09-11
16,Thiago,Harbor Real Estate,Manalapan,2026-09-09,https://meet.example.com/harbor16,"fechado_parceria","Case fechado","onboarding",2026-09-12
17,Veronica,Sunset Cove Realty,Highland Beach,2026-09-10,https://meet.example.com/sunset17,"neutro","Consulta com sócios","follow_up_7d",2026-09-17
18,Igor,Tide Realty,Juno Beach,2026-09-10,https://meet.example.com/tide18,"interessado","Demo aprovada","enviar_contrato",2026-09-12
19,Priscila,Atlantic Dunes Homes,Tequesta,2026-09-11,https://meet.example.com/dunes19,"interessado","Pediu proposta comercial","enviar_proposta",2026-09-13
20,Vinicius,Bayshore Realty,Jupiter Island,2026-09-11,https://meet.example.com/bay20,"rejeitado","Sem necessidade atual","follow_up_180d",2026-11-11
