lead_id,nome,email,cidade,telefone,data_envio,followup_72h_data,followup_72h_msg,followup_7d_data,followup_7d_msg
L028,Sol Nascente Imóveis,contato@ssolnascente.com.br,Praia Grande,(11) 99741-5843,2026-07-10,2026-07-13,"Famílias buscam segurança e praticidade. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",2026-07-17,Case no Praia Grande: imobiliária reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?
L029,Maré Alta Imóveis,contato@smarealta.com.br,Costa Verde,(11) 98257-3494,2026-07-10,2026-07-13,Clientes de alto padrão esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver na prática?,2026-07-17,Case no Costa Verde: atendimento personalizado com IA elevou conversão em 50%. Quer implementar gratuitamente?
L030,Costa Branca Imóveis,contato@scostabranca.com.br,Praia Sul,(11) 98953-9445,2026-07-10,2026-07-13,"Famílias buscam segurança e praticidade. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",2026-07-17,Case no Praia Sul: imobiliária reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?
L031,Vista Mar Imóveis,contato@svistamar.com.br,Litoral Norte,(11) 99446-7744,2026-07-10,2026-07-13,Verão movimenta vendas. Automatize captação e feche mais antes da temporada começar. Demo de 15min?,2026-07-17,Case no Litoral Norte: verão com leads qualificados na mesa. Quer testar o piloto gratuito?
L032,Praia Dourada Imóveis,contato@spraiadourada.com.br,Praia Sul,(11) 99145-9373,2026-07-10,2026-07-13,"Famílias buscam segurança e praticidade. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",2026-07-17,Case no Praia Sul: imobiliária reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?
L033,Recanto do Sol Imóveis,contato@srecantodosol.com.br,Centro Hist.,(11) 99183-5439,2026-07-10,2026-07-13,Imóveis comerciais tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,2026-07-17,Case no Centro Hist.: automação reduziu ciclo de venda de 90 para 45 dias. Quer aplicar na sua operação?
L034,Maré Azul Imóveis,contato@smareazul.com.br,Barra Norte,(11) 98209-9548,2026-07-10,2026-07-13,Picos de temporada exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,2026-07-17,Case no Barra Norte: temporada com IA garantiu +35% reservas fechadas. Quer testar?
L035,Brisa do Litoral Imóveis,contato@sbrisadolitoral.com.br,Vila Mar,(11) 98800-6546,2026-07-10,2026-07-13,Imóveis comerciais tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,2026-07-17,Case no Vila Mar: automação reduziu ciclo de venda de 90 para 45 dias. Quer aplicar na sua operação?
L036,Costa do Sol Imóveis,contato@scostadosol.com.br,Brisa do Mar,(11) 99919-9687,2026-07-10,2026-07-13,Picos de temporada exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,2026-07-17,Case no Brisa do Mar: temporada com IA garantiu +35% reservas fechadas. Quer testar?
L037,Vila Mariana Imóveis,contato@svilamariana.com.br,Praia Grande,(11) 99046-8259,2026-07-10,2026-07-13,"Famílias buscam segurança e praticidade. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",2026-07-17,Case no Praia Grande: imobiliária reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?
L038,Porto Belo Imóveis,contato@sportobelo.com.br,Costa Dourada,(11) 98429-6482,2026-07-10,2026-07-13,Investidores buscam dados rápidos e avaliações precisas. Nossa ferramenta entrega isso em 1 clique. Vamos testar?,2026-07-17,Case no Costa Dourada: +35% leads qualificados em 30 dias. Quer conversar?
L039,Maré Viva Imóveis,contato@smareviva.com.br,Porto da Lua,(11) 99737-9392,2026-07-10,2026-07-13,A temporada já começou — cada hora sem resposta é lead perdido. Nosso assistente virtual responde em segundos 24/7. Quer testar gratuitamente por 15 dias?,2026-07-17,Case no Porto da Lua: cliente aumentou agendamentos em 40% com nossa IA de recomendação. Quer o mesmo resultado?
L040,Praia Verde Imóveis,contato@spraiaverde.com.br,Costa Verde,(11) 99827-6462,2026-07-10,2026-07-13,Clientes de alto padrão esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver na prática?,2026-07-17,Case no Costa Verde: atendimento personalizado com IA elevou conversão em 50%. Quer implementar gratuitamente?
L041,Costa Serena Imóveis,contato@scostaserena.com.br,Barra Norte,(11) 98577-2510,2026-07-10,2026-07-13,Picos de temporada exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,2026-07-17,Case no Barra Norte: temporada com IA garantiu +35% reservas fechadas. Quer testar?
