id,titulo,cidade,tipo,preco,dormitorios,area,descricao
3000,Apartamento 1q em Mongaguá,Mongaguá,apartamento,2070000,1,50,"Oportunidade de apartamento no litoral paulista. 1 dormitórios, 50m², localização privilegiada em Mongaguá."
3001,Casa 2q em Bertioga,Bertioga,casa,2060000,2,60,"Oportunidade de casa no litoral paulista. 2 dormitórios, 60m², localização privilegiada em Bertioga."
3002,Kitnet 1q em Mongaguá,Mongaguá,kitnet,1690000,1,55,"Oportunidade de kitnet no litoral paulista. 1 dormitórios, 55m², localização privilegiada em Mongaguá."
3003,Apartamento 1q em Santos,Santos,apartamento,730000,1,49,"Oportunidade de apartamento no litoral paulista. 1 dormitórios, 49m², localização privilegiada em Santos."
3004,Kitnet 1q em Itanhaém,Itanhaém,kitnet,1610000,1,48,"Oportunidade de kitnet no litoral paulista. 1 dormitórios, 48m², localização privilegiada em Itanhaém."
3005,Kitnet 4q em Mongaguá,Mongaguá,kitnet,740000,4,134,"Oportunidade de kitnet no litoral paulista. 4 dormitórios, 134m², localização privilegiada em Mongaguá."
3006,Cobertura 1q em Peruíbe,Peruíbe,cobertura,2120000,1,47,"Oportunidade de cobertura no litoral paulista. 1 dormitórios, 47m², localização privilegiada em Peruíbe."
3007,Cobertura 3q em Ilhabela,Ilhabela,cobertura,570000,3,84,"Oportunidade de cobertura no litoral paulista. 3 dormitórios, 84m², localização privilegiada em Ilhabela."
3008,Apartamento 1q em Ubatuba,Ubatuba,apartamento,1150000,1,45,"Oportunidade de apartamento no litoral paulista. 1 dormitórios, 45m², localização privilegiada em Ubatuba."
3009,Cobertura 3q em Ubatuba,Ubatuba,cobertura,290000,3,108,"Oportunidade de cobertura no litoral paulista. 3 dormitórios, 108m², localização privilegiada em Ubatuba."
3010,Apartamento 4q em Itanhaém,Itanhaém,apartamento,380000,4,114,"Oportunidade de apartamento no litoral paulista. 4 dormitórios, 114m², localização privilegiada em Itanhaém."
3011,Kitnet 3q em Mongaguá,Mongaguá,kitnet,1650000,3,84,"Oportunidade de kitnet no litoral paulista. 3 dormitórios, 84m², localização privilegiada em Mongaguá."
3012,Apartamento 2q em Guarujá,Guarujá,apartamento,2150000,2,72,"Oportunidade de apartamento no litoral paulista. 2 dormitórios, 72m², localização privilegiada em Guarujá."
3013,Casa 1q em Guarujá,Guarujá,casa,1150000,1,50,"Oportunidade de casa no litoral paulista. 1 dormitórios, 50m², localização privilegiada em Guarujá."
3014,Cobertura 2q em Caraguatatuba,Caraguatatuba,cobertura,1120000,2,76,"Oportunidade de cobertura no litoral paulista. 2 dormitórios, 76m², localização privilegiada em Caraguatatuba."
3015,Cobertura 1q em Bertioga,Bertioga,cobertura,1730000,1,47,"Oportunidade de cobertura no litoral paulista. 1 dormitórios, 47m², localização privilegiada em Bertioga."
3016,Casa 2q em Itanhaém,Itanhaém,casa,1360000,2,78,"Oportunidade de casa no litoral paulista. 2 dormitórios, 78m², localização privilegiada em Itanhaém."
3017,Kitnet 2q em São Vicente,São Vicente,kitnet,1930000,2,74,"Oportunidade de kitnet no litoral paulista. 2 dormitórios, 74m², localização privilegiada em São Vicente."
3018,Casa 1q em Santos,Santos,casa,980000,1,54,"Oportunidade de casa no litoral paulista. 1 dormitórios, 54m², localização privilegiada em Santos."
3019,Apartamento 2q em São Vicente,São Vicente,apartamento,1630000,2,74,"Oportunidade de apartamento no litoral paulista. 2 dormitórios, 74m², localização privilegiada em São Vicente."
3020,Studio 4q em Bertioga,Bertioga,studio,1820000,4,134,"Oportunidade de studio no litoral paulista. 4 dormitórios, 134m², localização privilegiada em Bertioga."
3021,Cobertura 2q em Praia Grande,Praia Grande,cobertura,810000,2,70,"Oportunidade de cobertura no litoral paulista. 2 dormitórios, 70m², localização privilegiada em Praia Grande."
3022,Studio 4q em Peruíbe,Peruíbe,studio,1100000,4,106,"Oportunidade de studio no litoral paulista. 4 dormitórios, 106m², localização privilegiada em Peruíbe."
3023,Kitnet 4q em Praia Grande,Praia Grande,kitnet,410000,4,82,"Oportunidade de kitnet no litoral paulista. 4 dormitórios, 82m², localização privilegiada em Praia Grande."
3024,Casa 2q em Guarujá,Guarujá,casa,2200000,2,80,"Oportunidade de casa no litoral paulista. 2 dormitórios, 80m², localização privilegiada em Guarujá."
3025,Apartamento 4q em Peruíbe,Peruíbe,apartamento,1150000,4,134,"Oportunidade de apartamento no litoral paulista. 4 dormitórios, 134m², localização privilegiada em Peruíbe."
3026,Cobertura 1q em Itanhaém,Itanhaém,cobertura,1920000,1,45,"Oportunidade de cobertura no litoral paulista. 1 dormitórios, 45m², localização privilegiada em Itanhaém."
3027,Kitnet 3q em Mongaguá,Mongaguá,kitnet,2140000,3,96,"Oportunidade de kitnet no litoral paulista. 3 dormitórios, 96m², localização privilegiada em Mongaguá."
3028,Cobertura 4q em Guarujá,Guarujá,cobertura,580000,4,134,"Oportunidade de cobertura no litoral paulista. 4 dormitórios, 134m², localização privilegiada em Guarujá."
3029,Cobertura 2q em Santos,Santos,cobertura,1470000,2,60,"Oportunidade de cobertura no litoral paulista. 2 dormitórios, 60m², localização privilegiada em Santos."
3030,Cobertura 2q em Mongaguá,Mongaguá,cobertura,570000,2,76,"Oportunidade de cobertura no litoral paulista. 2 dormitórios, 76m², localização privilegiada em Mongaguá."
3031,Kitnet 1q em Praia Grande,Praia Grande,kitnet,1710000,1,52,"Oportunidade de kitnet no litoral paulista. 1 dormitórios, 52m², localização privilegiada em Praia Grande."
3032,Apartamento 1q em Caraguatatuba,Caraguatatuba,apartamento,1100000,1,51,"Oportunidade de apartamento no litoral paulista. 1 dormitórios, 51m², localização privilegiada em Caraguatatuba."
3033,Apartamento 2q em Bertioga,Bertioga,apartamento,1630000,2,58,"Oportunidade de apartamento no litoral paulista. 2 dormitórios, 58m², localização privilegiada em Bertioga."
3034,Studio 1q em Guarujá,Guarujá,studio,2120000,1,46,"Oportunidade de studio no litoral paulista. 1 dormitórios, 46m², localização privilegiada em Guarujá."
3035,Studio 2q em Praia Grande,Praia Grande,studio,850000,2,86,"Oportunidade de studio no litoral paulista. 2 dormitórios, 86m², localização privilegiada em Praia Grande."
3036,Studio 2q em Peruíbe,Peruíbe,studio,1560000,2,66,"Oportunidade de studio no litoral paulista. 2 dormitórios, 66m², localização privilegiada em Peruíbe."
3037,Studio 3q em São Vicente,São Vicente,studio,1300000,3,114,"Oportunidade de studio no litoral paulista. 3 dormitórios, 114m², localização privilegiada em São Vicente."
3038,Apartamento 2q em Caraguatatuba,Caraguatatuba,apartamento,750000,2,58,"Oportunidade de apartamento no litoral paulista. 2 dormitórios, 58m², localização privilegiada em Caraguatatuba."
3039,Apartamento 2q em Ubatuba,Ubatuba,apartamento,1680000,2,68,"Oportunidade de apartamento no litoral paulista. 2 dormitórios, 68m², localização privilegiada em Ubatuba."
3040,Apartamento 1q em Santos,Santos,apartamento,760000,1,44,"Oportunidade de apartamento no litoral paulista. 1 dormitórios, 44m², localização privilegiada em Santos."
3041,Cobertura 1q em Santos,Santos,cobertura,1490000,1,49,"Oportunidade de cobertura no litoral paulista. 1 dormitórios, 49m², localização privilegiada em Santos."
3042,Studio 2q em São Vicente,São Vicente,studio,1560000,2,62,"Oportunidade de studio no litoral paulista. 2 dormitórios, 62m², localização privilegiada em São Vicente."
3043,Kitnet 4q em Peruíbe,Peruíbe,kitnet,800000,4,138,"Oportunidade de kitnet no litoral paulista. 4 dormitórios, 138m², localização privilegiada em Peruíbe."
3044,Casa 1q em Ilhabela,Ilhabela,casa,420000,1,55,"Oportunidade de casa no litoral paulista. 1 dormitórios, 55m², localização privilegiada em Ilhabela."
3045,Studio 4q em Ubatuba,Ubatuba,studio,1370000,4,82,"Oportunidade de studio no litoral paulista. 4 dormitórios, 82m², localização privilegiada em Ubatuba."
3046,Apartamento 1q em Mongaguá,Mongaguá,apartamento,1210000,1,52,"Oportunidade de apartamento no litoral paulista. 1 dormitórios, 52m², localização privilegiada em Mongaguá."
3047,Casa 2q em Guarujá,Guarujá,casa,660000,2,82,"Oportunidade de casa no litoral paulista. 2 dormitórios, 82m², localização privilegiada em Guarujá."
3048,Studio 2q em Praia Grande,Praia Grande,studio,890000,2,82,"Oportunidade de studio no litoral paulista. 2 dormitórios, 82m², localização privilegiada em Praia Grande."
3049,Apartamento 4q em Bertioga,Bertioga,apartamento,1580000,4,90,"Oportunidade de apartamento no litoral paulista. 4 dormitórios, 90m², localização privilegiada em Bertioga."
