lead_id,city,bairro,nome_empresa,url,canal_contato,whatsapp,servico_potencial,score,acao,valor_potencial,origem,status_d2
31-alt,Bertioga,Riviera de São Lourenço,Desconhecido,https://sp.olx.com.br/baixada-santista-e-litoral-sul/temporada/casa-riviera-de-sao-lourenco-mod-28-alt-1503706549,OLX,,Fotografia + Edição de anúncio,76,qualificar_contato,RECEITA_NÃO_INFORMADA,motor_a_novo_estoque_2026-08-16,BLOQUEADO — FONTE EXECUTÁVEL AUSENTE
32,São Sebastião,Barra do Sul,Desconhecido,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/temporada/casa-barra-do-sul-sao-sebastiao-152999999,OLX,,Fotografia + Edição de anúncio,72,qualificar_contato,RECEITA_NÃO_INFORMADA,motor_a_novo_estoque_2026-08-16,BLOQUEADO — FONTE EXECUTÁVEL AUSENTE
33,Bertioga,Centro,Desconhecido,https://www.instagram.com/reel/DI9xK5mN3pR/,Instagram,,Administração Airbnb,74,qualificar_contato,RECEITA_NÃO_INFORMADA,motor_a_novo_estoque_2026-08-16,BLOQUEADO — FONTE EXECUTÁVEL AUSENTE
34-alt,São Sebastião,Boiçucanga,Desconhecido,https://www.zapimoveis.com.br/aluguel/imoveis/sp+sao-sebastiao/direto-com-proprietario-boi/,Zap Imóveis,,Edição de anúncio + SEO local,78,qualificar_contato,RECEITA_NÃO_INFORMADA,motor_a_novo_estoque_2026-08-16,BLOQUEADO — FONTE EXECUTÁVEL AUSENTE
35,Bertioga,Enseada,Desconhecido,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/bertioga/praia-da-enseada-139114-casa-bertioga-c-piscina-3-quartos,TemporadaLivre,,Fotografia + Edição de anúncio,80,qualificar_contato,RECEITA_NÃO_INFORMADA,motor_a_novo_estoque_2026-08-16,BLOQUEADO — FONTE EXECUTÁVEL AUSENTE
12,Bertioga,Riviera de São Lourenço,Desconhecido,https://sp.olx.com.br/baixada-santista-e-litoral-sul/temporada/casa-riviera-de-sao-lourenco-mod-28-1503706548,OLX,,Fotografia + Edição de anúncio,76,qualificar_contato,RECEITA_NÃO_INFORMADA,motor_a_novo_estoque_2026-08-16,BLOQUEADO — FONTE EXECUTÁVEL AUSENTE
16,Bertioga,Centro,Desconhecido,https://www.facebook.com/groups/1561214997502063/posts/4254440394846163/,Facebook,,Edição de anúncio + Administração Airbnb,74,qualificar_contato,RECEITA_NÃO_INFORMADA,motor_a_novo_estoque_2026-08-16,BLOQUEADO — FONTE EXECUTÁVEL AUSENTE
18,São Sebastião,Barequeçaba,Desconhecido,https://www.facebook.com/locacoestemporadabare/videos/569309555572199/,Facebook,,Fotografia + Edição de anúncio,77,qualificar_contato,RECEITA_NÃO_INFORMADA,motor_a_novo_estoque_2026-08-16,BLOQUEADO — FONTE EXECUTÁVEL AUSENTE
26,Bertioga,Centro/Bertioga,Casas Roxa,https://www.instagram.com/reel/DD66GLdJ3mL/,Instagram,,Fotografia + Edição de anúncio,81,qualificar_contato,RECEITA_NÃO_INFORMADA,motor_a_novo_estoque_2026-08-16,BLOQUEADO — FONTE EXECUTÁVEL AUSENTE
30,Bertioga,Indaiá,Desconhecido,https://sp.olx.com.br/baixada-santista-e-litoral-sul/temporada/casa-aconchegante-3-quartos-a-600m-da-praia-de-indaia-bertioga-402686765,OLX,,Administração Airbnb + Fotografia + Edição de anúncio,78,qualificar_contato,RECEITA_NÃO_INFORMADA,motor_a_novo_estoque_2026-08-16,BLOQUEADO — FONTE EXECUTÁVEL AUSENTE
