lead_id,city,bairro,tipo_cliente,nome_empresa,url,canal_contato,servico_potencial,evidencia,score,status
1,Bertioga,Morada da Praia,anfitriao,Gumercindo,https://www.airbnb.pt/rooms/1315841675686499151,Airbnb,Administracao Airbnb/Temporada,Response rate 33% + rating 4.0 + gestao aparentemente manual,78,PROSPECTAR
2,Sao Sebastiao,Praia da Baleia,proprietario/empresa,Tami Moreira,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/sao-sebastiao/praia-da-baleia/54756-casa-pe-na-areia-na-praia-da-baleia,TemporadaLivre,Edicao de anuncio,Anunciante verificado 2019 sem preco cadastrado,72,PROSPECTAR
3,Sao Sebastiao,Juquehy,imobiliaria,Imobiliaria Juquehy,http://juquehyimobiliaria.com/,Site,Edicao de anuncio,Portal local sem sinal de presenca digital forte,65,NUTRIR
4,Sao Sebastiao,Maresias,imobiliaria,Tropical Imobiliaria Maresias,https://tropicalimobiliaria.com.br/temporada/,Site,Edicao de anuncio,Listagem de temporada sem diferenciacao visivel,62,NUTRIR
5,Sao Sebastiao,,imobiliaria,Riviera Imoveis,https://www.rivieraimoveis.com/,Site,Edicao de anuncio,Site institucional; avaliar qualidade de anuncios,60,NUTRIR
6,Bertioga,Indaiá,proprietario/anfitriao,Desconhecido,https://www.instagram.com/reel/C79aACRuf0J/,Instagram,Fotografia + Edicao de anuncio,Aluguel direto R$650/dia; baixa apresentacao esperada,74,PROSPECTAR
7,Bertioga,Enseada,proprietario,Desconhecido,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/bertioga/praia-da-enseada/139114-casa-bertioga-c-piscina-3-quartos-1-suite-ate-15-pessoas-prox-sesc,TemporadaLivre,Fotografia + Edicao de anuncio,Casa grande piscina 3 quartos; avaliar qualidade de fotos/preco,68,PROSPECTAR
8,São Sebastião,Cigarras,proprietário,Desconhecido,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/temporada/casa-de-praia-sao-sebastiao-cigarras-156973039,OLX,Edição de anúncio + Fotografia,"Anúncio direto com 16+ fotos; avaliar qualidade e SEO local",74,PROSPECTAR
9,São Sebastião,Juquehy,proprietário,Desconhecido,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/temporada/casa-em-juquehy-com-piscina-1522509338,OLX,Fotografia + Edição de anúncio,"Casa com piscina e 4 quartos; contato WhatsApp público; alto potencial",82,PRIORIDADE ALTA
10,São Sebastião,Enseada,proprietário,Desconhecido,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/temporada/casa-apto-5-min-da-praia-enseada-sao-sebastiao-1522061705,OLX,Edição de anúncio + SEO local,"Apartamento 2º andar; 5 min da praia; apresentação pode ser profissionalizada",70,PROSPECTAR
11,Bertioga,Indaiá,proprietário,Desconhecido,https://sp.olx.com.br/baixada-santista-e-litoral-sul/temporada/casa-aconchegante-3-quartos-a-600m-da-praia-de-indaia-bertioga-402686765,OLX,Fotografia + Edição de anúncio,"Casa 3 quartos 600m praia; direto proprietário; anúncio pode ser profissionalizado",80,PRIORIDADE ALTA
12,Bertioga,Riviera de São Lourenço,proprietário,Desconhecido,https://sp.olx.com.br/baixada-santista-e-litoral-sul/temporada/casa-riviera-de-sao-lourenco-mod-28-1503706548,OLX,Fotografia + Edição de anúncio,"Casa Riviera mod 28; anúncio direto proprietário; potencial alto",76,PROSPECTAR
13,Bertioga,Indaiá,proprietário,Desconhecido,https://www.olx.com.br/anuncios/casa-temporada-em-bertioga,OLX,Fotografia + Edição de anúncio,"Anúncio geral 'casa temporada em bertioga'; avaliar oferta específica",72,PROSPECTAR
14,Bertioga,Indaiá,proprietário/anfitrião,Desconhecido,https://www.instagram.com/reel/DHnh0sKuq-1/,Instagram,Fotografia + Edição de anúncio,"Casa Indaiá 150m praia, R$650/dia, pouca estrutura visual esperada",83,PRIORIDADE ALTA
15,Bertioga,Indaiá,proprietário,Diego,https://www.facebook.com/groups/1561214997502063/posts/4274786302811572/,Facebook,Edição de anúncio + Administração Airbnb,"Contato WhatsApp público; anúncio manual; alta oportunidade de gestão profissional",79,PROSPECTAR
16,Bertioga,Centro,proprietário,Desconhecido,https://www.facebook.com/groups/1561214997502063/posts/4254440394846163/,Facebook,Edição de anúncio + Administração Airbnb,"WhatsApp público; aluguel temporada centro; sem sinal de profissionalização",74,PROSPECTAR
17,São Sebastião,Praia da Enseada,proprietário/empresa,Desconhecido,https://www.facebook.com/casatemporadasaosebastiaoenseadalitoralnorte/,Facebook,Edição de anúncio + SEO local,Página pública dedicada a temporada na Enseada; avaliar qualidade do anúncio,70,NUTRIR
18,São Sebastião,Barequeçaba,proprietário,Desconhecido,https://www.facebook.com/locacoestemporadabare/videos/569309555572199/,Facebook,Fotografia + Edição de anúncio,Vídeo com casas na praia Barequeçaba; contato WhatsApp; boa chance de fotografia profissional,77,PROSPECTAR
19,Bertioga,Riviera de São Lourenço,proprietário,Desconhecido,https://www.facebook.com/groups/1520088638297869/,Facebook,Administração Airbnb + Fotografia,Grupo/comunidade de locação; leads agregados com potencial,68,NUTRIR
20,São Sebastião,Boraceia,proprietário,Desconhecido,https://www.airbnb.com/rooms/1315841675686499151,Airbnb,Administração Airbnb,"Response rate 33%, rating 4.0, gestão manual aparente; alta evidência de necessidade",81,PROSPECTAR
