id,titulo,cidade,tipo,preco,dormitorios,area,descricao
1001,Casa com 1 dormitórios em Bertioga,Bertioga,Casa,950000,1,55,"Oportunidade de casa no litoral paulista. 1 dormitórios, 55m², localização privilegiada em Bertioga."
1002,Cobertura com 1 dormitórios em Guarujá,Guarujá,Cobertura,1800000,1,240,"Oportunidade de cobertura no litoral paulista. 1 dormitórios, 240m², localização privilegiada em Guarujá."
1003,Apartamento com 4 dormitórios em Ilhabela,Ilhabela,Apartamento,250000,4,160,"Oportunidade de apartamento no litoral paulista. 4 dormitórios, 160m², localização privilegiada em Ilhabela."
1004,Casa com 5 dormitórios em Guarujá,Guarujá,Casa,250000,5,160,"Oportunidade de casa no litoral paulista. 5 dormitórios, 160m², localização privilegiada em Guarujá."
1005,Studio com 2 dormitórios em Santos,Santos,Studio,250000,2,280,"Oportunidade de studio no litoral paulista. 2 dormitórios, 280m², localização privilegiada em Santos."
1006,Studio com 4 dormitórios em Santos,Santos,Studio,1800000,4,35,"Oportunidade de studio no litoral paulista. 4 dormitórios, 35m², localização privilegiada em Santos."
1007,Apartamento com 2 dormitórios em Ilhabela,Ilhabela,Apartamento,1500000,2,110,"Oportunidade de apartamento no litoral paulista. 2 dormitórios, 110m², localização privilegiada em Ilhabela."
1008,Casa com 1 dormitórios em Peruíbe,Peruíbe,Casa,1500000,1,280,"Oportunidade de casa no litoral paulista. 1 dormitórios, 280m², localização privilegiada em Peruíbe."
1009,Studio com 1 dormitórios em Praia Grande,Praia Grande,Studio,320000,1,280,"Oportunidade de studio no litoral paulista. 1 dormitórios, 280m², localização privilegiada em Praia Grande."
1010,Cobertura com 5 dormitórios em Ilhabela,Ilhabela,Cobertura,250000,5,55,"Oportunidade de cobertura no litoral paulista. 5 dormitórios, 55m², localização privilegiada em Ilhabela."
1011,Studio com 4 dormitórios em Santos,Santos,Studio,450000,4,240,"Oportunidade de studio no litoral paulista. 4 dormitórios, 240m², localização privilegiada em Santos."
1012,Cobertura com 5 dormitórios em Peruíbe,Peruíbe,Cobertura,1200000,5,200,"Oportunidade de cobertura no litoral paulista. 5 dormitórios, 200m², localização privilegiada em Peruíbe."
1013,Cobertura com 2 dormitórios em Bertioga,Bertioga,Cobertura,450000,2,90,"Oportunidade de cobertura no litoral paulista. 2 dormitórios, 90m², localização privilegiada em Bertioga."
1014,Studio com 5 dormitórios em Guarujá,Guarujá,Studio,520000,5,200,"Oportunidade de studio no litoral paulista. 5 dormitórios, 200m², localização privilegiada em Guarujá."
1015,Loft com 3 dormitórios em Bertioga,Bertioga,Loft,1200000,3,280,"Oportunidade de loft no litoral paulista. 3 dormitórios, 280m², localização privilegiada em Bertioga."
1016,Apartamento com 4 dormitórios em Guarujá,Guarujá,Apartamento,1500000,4,75,"Oportunidade de apartamento no litoral paulista. 4 dormitórios, 75m², localização privilegiada em Guarujá."
1017,Casa com 4 dormitórios em Bertioga,Bertioga,Casa,1200000,4,35,"Oportunidade de casa no litoral paulista. 4 dormitórios, 35m², localização privilegiada em Bertioga."
1018,Studio com 3 dormitórios em Guarujá,Guarujá,Studio,1800000,3,130,"Oportunidade de studio no litoral paulista. 3 dormitórios, 130m², localização privilegiada em Guarujá."
1019,Studio com 5 dormitórios em Bertioga,Bertioga,Studio,1200000,5,200,"Oportunidade de studio no litoral paulista. 5 dormitórios, 200m², localização privilegiada em Bertioga."
1020,Apartamento com 4 dormitórios em Guarujá,Guarujá,Apartamento,520000,4,55,"Oportunidade de apartamento no litoral paulista. 4 dormitórios, 55m², localização privilegiada em Guarujá."
1021,Loft com 5 dormitórios em Santos,Santos,Loft,520000,5,200,"Oportunidade de loft no litoral paulista. 5 dormitórios, 200m², localização privilegiada em Santos."
1022,Loft com 3 dormitórios em Praia Grande,Praia Grande,Loft,950000,3,35,"Oportunidade de loft no litoral paulista. 3 dormitórios, 35m², localização privilegiada em Praia Grande."
1023,Cobertura com 5 dormitórios em Itanhaém,Itanhaém,Cobertura,320000,5,55,"Oportunidade de cobertura no litoral paulista. 5 dormitórios, 55m², localização privilegiada em Itanhaém."
1024,Apartamento com 3 dormitórios em Itanhaém,Itanhaém,Apartamento,450000,3,75,"Oportunidade de apartamento no litoral paulista. 3 dormitórios, 75m², localização privilegiada em Itanhaém."
