URL,TEMPLATE,SCORE,CLASSIFICATION,JUSTIFICATION
,,HIGH,DUPLICATA_EXATA,Auto-candidate from dup_classify
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,SOBREPOSICAO_PARCIAL,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
,,MEDIUM,REVISAO_HUMANA,Requires human review
