lead_id,nome,email,cidade,dor,objetivo,data_envio,followup_72h_data,followup_72h_assunto,followup_72h_corpo,followup_7d_data,followup_7d_assunto,followup_7d_corpo,fechamento
L028,Sol Nascente Imóveis,contato@ssolnascente.com.br,Praia Grande,familiares,Vamos agendar a demo para hoje?,2026-07-10,2026-07-13,Follow-up: Vamos agendar a demo para hoje? — Praia Grande,"Famílias buscam segurança e praticidade. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",2026-07-17,Case de sucesso em Praia Grande — Praia Digital,Case em Praia Grande: imobiliária reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?,Vamos agendar a demo para hoje? Mostro como enviar opções personalizadas para famílias em segundos.
L029,Maré Alta Imóveis,contato@smarealta.com.br,Costa Verde,luxo,Vamos agendar uma demo exclusiva?,2026-07-10,2026-07-13,Follow-up: Vamos agendar uma demo exclusiva? — Costa Verde,Clientes de alto padrão esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver na prática?,2026-07-17,Case de sucesso em Costa Verde — Praia Digital,Case em Costa Verde: atendimento personalizado com IA elevou conversão em 50%. Quer implementar gratuitamente?,Vamos agendar uma demo exclusiva? Mostro como a IA personaliza recomendações para clientes high-end.
L030,Costa Branca Imóveis,contato@scostabranca.com.br,Praia Sul,familiares,Vamos agendar a demo para hoje?,2026-07-10,2026-07-13,Follow-up: Vamos agendar a demo para hoje? — Praia Sul,"Famílias buscam segurança e praticidade. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",2026-07-17,Case de sucesso em Praia Sul — Praia Digital,Case em Praia Sul: imobiliária reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?,Vamos agendar a demo para hoje? Mostro como enviar opções personalizadas para famílias em segundos.
L031,Vista Mar Imóveis,contato@svistamar.com.br,Litoral Norte,veraneio,Vamos preparar sua operação para o verão?,2026-07-10,2026-07-13,Follow-up: Vamos preparar sua operação para o verão? — Litoral Norte,Verão movimenta vendas. Automatize captação e feche mais antes da temporada começar. Demo de 15min?,2026-07-17,Case de sucesso em Litoral Norte — Praia Digital,Case em Litoral Norte: verão com leads qualificados na mesa. Quer testar o piloto gratuito?,Vamos preparar sua operação para o verão? Demo de 15min mostrando como captar leads automaticamente.
L032,Praia Dourada Imóveis,contato@spraiadourada.com.br,Praia Sul,familiares,Vamos agendar a demo para hoje?,2026-07-10,2026-07-13,Follow-up: Vamos agendar a demo para hoje? — Praia Sul,"Famílias buscam segurança e praticidade. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",2026-07-17,Case de sucesso em Praia Sul — Praia Digital,Case em Praia Sul: imobiliária reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?,Vamos agendar a demo para hoje? Mostro como enviar opções personalizadas para famílias em segundos.
L033,Recanto do Sol Imóveis,contato@srecantodosol.com.br,Centro Hist.,comercial,Vamos agendar uma call de 30min?,2026-07-10,2026-07-13,Follow-up: Vamos agendar uma call de 30min? — Centro Hist.,Imóveis comerciais tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,2026-07-17,Case de sucesso em Centro Hist. — Praia Digital,Case em Centro Hist.: automação reduziu ciclo de venda de 90 para 45 dias. Quer aplicar na sua operação?,Vamos agendar uma call de 30min? Mostro como reduzir o ciclo de venda comercial na prática.
L034,Maré Azul Imóveis,contato@smareazul.com.br,Barra Norte,turismo,Vamos testar agora?,2026-07-10,2026-07-13,Follow-up: Vamos testar agora? — Barra Norte,Picos de temporada exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,2026-07-17,Case de sucesso em Barra Norte — Praia Digital,Case em Barra Norte: temporada com IA garantiu +35% reservas fechadas. Quer testar?,Vamos testar agora? Configurei em 5 minutos e você já vê resultados.
L035,Brisa do Litoral Imóveis,contato@sbrisadolitoral.com.br,Vila Mar,comercial,Vamos agendar uma call de 30min?,2026-07-10,2026-07-13,Follow-up: Vamos agendar uma call de 30min? — Vila Mar,Imóveis comerciais tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,2026-07-17,Case de sucesso em Vila Mar — Praia Digital,Case em Vila Mar: automação reduziu ciclo de venda de 90 para 45 dias. Quer aplicar na sua operação?,Vamos agendar uma call de 30min? Mostro como reduzir o ciclo de venda comercial na prática.
L036,Costa do Sol Imóveis,contato@scostadosol.com.br,Brisa do Mar,turismo,Vamos testar agora?,2026-07-10,2026-07-13,Follow-up: Vamos testar agora? — Brisa do Mar,Picos de temporada exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,2026-07-17,Case de sucesso em Brisa do Mar — Praia Digital,Case em Brisa do Mar: temporada com IA garantiu +35% reservas fechadas. Quer testar?,Vamos testar agora? Configurei em 5 minutos e você já vê resultados.
L037,Vila Mariana Imóveis,contato@svilamariana.com.br,Praia Grande,familiares,Vamos agendar a demo para hoje?,2026-07-10,2026-07-13,Follow-up: Vamos agendar a demo para hoje? — Praia Grande,"Famílias buscam segurança e praticidade. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",2026-07-17,Case de sucesso em Praia Grande — Praia Digital,Case em Praia Grande: imobiliária reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?,Vamos agendar a demo para hoje? Mostro como enviar opções personalizadas para famílias em segundos.
L038,Porto Belo Imóveis,contato@sportobelo.com.br,Costa Dourada,investimento,Vamos agendar uma call?,2026-07-10,2026-07-13,Follow-up: Vamos agendar uma call? — Costa Dourada,Investidores buscam dados rápidos e avaliações precisas. Nossa ferramenta entrega isso em 1 clique. Vamos testar?,2026-07-17,Case de sucesso em Costa Dourada — Praia Digital,Case em Costa Dourada: +35% leads qualificados em 30 dias. Quer conversar?,Vamos agendar uma call? Mostro dados reais de ROI e como a IA ajuda a identificar oportunidades.
