prospect,cidade,segmento,status_humano,nivel_evidencia,evidencia_airbnb,evidencia_booking,evidencia_pagina_temporada,evidencia_portfolio,evidencia_instagram,url_evidencias,problema_especifico,servico_indicado,justificativa_match,proposta_personalizada,status_aprovacao,data_analise
Quinta Prime,Bertioga,Gestão Airbnb,AGUARDANDO_APROVAÇÃO,EVIDÊNCIA_MÉDIA,Site declara gestão de Airbnb em Bertioga,Não confirmado,https://quintadamantiqueira.com/gestao-airbnb/bertioga,Não confirmado,Não confirmado,https://quintadamantiqueira.com/,"Potencial: gestão de Airbnb com otimização declarada. Atende Centro, Riviera, Maitinga e Indaiá. Aguardando verificação do anúncio.","Edição, Combo, Recorrência",Aguardando evidência forte para proposta direcionada.,,AGUARDANDO_APROVAÇÃO,2026-08-14T10:38:27.433577
CASA Home Management,"São Sebastião, Juquehy",Coanfitrião,APROVADO_PARA_ABORDAGEM,EVIDÊNCIA_MÉDIA,Site declara coanfitrião Airbnb,Não confirmado,https://casahm.com.br/,Não confirmado,Não confirmado,https://casahm.com.br/,Potencial: coanfitriã no Litoral Norte. Atua em Juquehy/São Sebastião. Aguardando verificação do anúncio.,"Fotografia, Edição, Combo",Aguardando evidência forte para proposta direcionada.,,APROVADO_PARA_ABORDAGEM,2026-08-14T10:38:27.433577
Rivino Invest,Bertioga,Administrador portais,AGUARDANDO_APROVAÇÃO,EVIDÊNCIA_FORTE,Site declara administração em Airbnb,Site declara administração em Booking,https://rivinoinvest.com/,Não confirmado,Não confirmado,https://rivinoinvest.com/,Gestão mult_PORTAL sem padronização de apresentação confirmada.,Edição profissional de anúncios + combo + parceria recorrente,Gestores de Airbnb/Booking administram múltiplos anúncios e se beneficiam de padronização profissional.,"Olá, time da Rivino Invest.
Vi que vocês trabalham com Administrador portais em Bertioga.
Acredito que a maior oportunidade está em padronizar a apresentação dos anúncios: primeira foto, título e descrição com foco em conversão.
Na Praia Digital ajudamos gestores mult_PORTAL a aumentar cliques e reservas com edição profissional de anúncios e fotos prontas para publicar.
Posso mostrar como eu estruturaria 1 anúncio sem compromisso?",AGUARDANDO_APROVAÇÃO,2026-08-14T10:38:27.433577
Riviera Temporada (João Ranzani),Bertioga,Administrador temporada,APROVADO_PARA_ABORDAGEM,EVIDÊNCIA_MÉDIA,Perfis públicos associados à Riviera Temporada,Perfis públicos associados,https://rivieratemporada.com.br/,Não confirmado,@rivieratemporada,https://rivieratemporada.com.br/,Potencial: locação temporária específica na Riviera/Bertioga com contato público. Aguardando verificação do anúncio.,"Fotografia, Edição, Combo",Aguardando evidência forte para proposta direcionada.,,APROVADO_PARA_ABORDAGEM,2026-08-14T10:38:27.433577
Look Imóveis,São Sebastião,Imobiliária,NOVO,EVIDÊNCIA_FRACA,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Busca genérica para Look Imóveis,Potencial: imobiliária em São Sebastião. Aguardando verificação dos anúncios.,"Fotografia, Edição",Aguardando evidência forte para proposta direcionada.,,APROVAÇÃO_PENDENTE,2026-08-14T10:38:27.433577
HTS imóveis,São Sebastião,Imobiliária,NOVO,EVIDÊNCIA_FRACA,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Busca genérica para HTS imóveis,Potencial: imobiliária em São Sebastião. Aguardando verificação dos anúncios.,"Fotografia, Edição",Aguardando evidência forte para proposta direcionada.,,APROVAÇÃO_PENDENTE,2026-08-14T10:38:27.433577
Padrão Empreendimentos Imobiliários,São Sebastião,Imobiliária,NOVO,EVIDÊNCIA_FRACA,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Busca genérica para Padrão Empreendimentos Imobiliários,Potencial: imobiliária em São Sebastião. Aguardando verificação dos anúncios.,"Fotografia, Edição",Aguardando evidência forte para proposta direcionada.,,APROVAÇÃO_PENDENTE,2026-08-14T10:38:27.433577
Modesti Imóveis,São Sebastião,Imobiliária,NOVO,EVIDÊNCIA_FRACA,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Busca genérica para Modesti Imóveis,Potencial: imobiliária em São Sebastião. Aguardando verificação dos anúncios.,"Fotografia, Edição",Aguardando evidência forte para proposta direcionada.,,APROVAÇÃO_PENDENTE,2026-08-14T10:38:27.433577
Litoral Norte Homes,São Sebastião,Imobiliária,NOVO,EVIDÊNCIA_FRACA,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Busca genérica para Litoral Norte Homes,Potencial: imobiliária em São Sebastião. Aguardando verificação dos anúncios.,"Fotografia, Edição",Aguardando evidência forte para proposta direcionada.,,APROVAÇÃO_PENDENTE,2026-08-14T10:38:27.433577
Tiago Sá Riviera,Bertioga,Imobiliária/consultoria,NOVO,EVIDÊNCIA_FRACA,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Busca genérica para Tiago Sá Riviera,Potencial: atuação na Riviera de São Lourenço. Aguardando verificação dos anúncios.,"Fotografia, Edição",Aguardando evidência forte para proposta direcionada.,,APROVAÇÃO_PENDENTE,2026-08-14T10:38:27.433577
SIV - Sistema Integrado de Vendas da Riviera de São Lourenço,Bertioga,Imobiliária/plataforma,NOVO,EVIDÊNCIA_FRACA,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Não confirmado,Busca genérica para SIV - Sistema Integrado de Vendas da Riviera de São Lourenço,"Potencial: sistema de vendas da Riviera, pode ter inventário de temporada. Aguardando verificação.","Fotografia, Edição",Aguardando evidência forte para proposta direcionada.,,APROVAÇÃO_PENDENTE,2026-08-14T10:38:27.433577
