lead_id,nome,cidade,dor,data_envio,followup_72h_data,followup_72h_conteudo,followup_7d_data,followup_7d_conteudo
L001,Porto da Lua Prime,Porto da Lua,alta temporada,2026-07-10,2026-07-13,"Olá Porto da Lua Prime, a temporada já começou e cada hora conta. Nossa IA qualifica leads 24/7 para Porto da Lua — quer testar 15min agora?",2026-07-17,Case em Porto da Lua: cliente aumentou agendamentos em 40% com nossa IA de recomendação. Quer o mesmo resultado?
L002,Praia Grande Site View,Praia Grande,familiares,2026-07-10,2026-07-13,"Olá Praia Grande Site View, famílias buscam segurança e praticidade em Praia Grande. Com nosso assistente virtual, você responde em segundos e aumenta conversão. Quer demo?",2026-07-17,"Olá Praia Grande Site View, imobiliária em Praia Grande reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?"
L003,Porto da Lua Blue,Porto da Lua,investimento,2026-07-10,2026-07-13,"Olá Porto da Lua Blue, investidores em Porto da Lua buscam dados rápidos e avaliações precisas. Nossa ferramenta entrega isso em 1 clique. Vamos testar?",2026-07-17,"Olá Porto da Lua Blue, com dados em tempo real, você fecha investimentos mais rápido. Case em Porto da Lua: +35% leads qualificados. Vamos conversar?"
L004,Prime Imóveis Centro,Centro Hist.,comercial,2026-07-10,2026-07-13,"Olá Prime Imóveis Centro, imóveis comerciais em Centro Hist. tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração grátis?",2026-07-17,"Olá Prime Imóveis Centro, automação reduziu ciclo de venda comercial em Centro Hist. de 90 para 45 dias. Quer aplicar na sua operação?"
L005,Costa Verde Imóveis,Costa Verde,luxo,2026-07-10,2026-07-13,"Olá Costa Verde Imóveis, clientes de alto padrão em Costa Verde esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver?",2026-07-17,"Olá Costa Verde Imóveis, atendimento personalizado com IA elevou conversão em Costa Verde em 50%. Quer implementar gratuitamente?"
L006,Barra Norte Imóveis,Barra Norte,turismo,2026-07-10,2026-07-13,"Olá Barra Norte Imóveis, picos de procura por temporada em Barra Norte exigem resposta instantânea. Assistente virtual 24/7 = mais reservas. Teste grátis?",2026-07-17,"Olá Barra Norte Imóveis, temporada em Barra Norte com IA: resposta em segundos e mais reservas fechadas. Quer testar?"
L007,Litoral Norte Prime,Litoral Norte,veraneio,2026-07-10,2026-07-13,"Olá Litoral Norte Prime, verão em Litoral Norte movimenta vendas. Automatize captação e feche mais antes da temporada começar. Demo de 15min?",2026-07-17,"Olá Litoral Norte Prime, verão está chegando em Litoral Norte. Automatize captação e tenha leads qualificados na sua mesa. Demo grátis?"
L008,Praia Sul Properties,Praia Sul,familiares,2026-07-10,2026-07-13,"Olá Praia Sul Properties, famílias buscam segurança e praticidade em Praia Sul. Com nosso assistente virtual, você responde em segundos e aumenta conversão. Quer demo?",2026-07-17,"Olá Praia Sul Properties, imobiliária em Praia Sul reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?"
L009,Costa Azul Imóveis,Costa Azul,investimento,2026-07-10,2026-07-13,"Olá Costa Azul Imóveis, investidores em Costa Azul buscam dados rápidos e avaliações precisas. Nossa ferramenta entrega isso em 1 clique. Vamos testar?",2026-07-17,"Olá Costa Azul Imóveis, com dados em tempo real, você fecha investimentos mais rápido. Case em Costa Azul: +35% leads qualificados. Vamos conversar?"
L010,Maré Alta Imóveis,Maré Alta,temporada,2026-07-10,2026-07-13,"Olá Maré Alta Imóveis, follow-up: ainda testamos nossas ferramentas gratuitas para Maré Alta? Demo de 15min? https://praia.digital",2026-07-17,"Olá Maré Alta Imóveis, case em Maré Alta: +35% leads qualificados. Vamos replicar? https://praia.digital"
L011,Recife do Sol,Recife do Sol,turismo,2026-07-10,2026-07-13,"Olá Recife do Sol, picos de procura por temporada em Recife do Sol exigem resposta instantânea. Assistente virtual 24/7 = mais reservas. Teste grátis?",2026-07-17,"Olá Recife do Sol, temporada em Recife do Sol com IA: resposta em segundos e mais reservas fechadas. Quer testar?"
L012,Vila Mar Properties,Vila Mar,comercial,2026-07-10,2026-07-13,"Olá Vila Mar Properties, imóveis comerciais em Vila Mar tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração grátis?",2026-07-17,"Olá Vila Mar Properties, automação reduziu ciclo de venda comercial em Vila Mar de 90 para 45 dias. Quer aplicar na sua operação?"
L013,Ilha Bella Imóveis,Ilha Bella,luxo,2026-07-10,2026-07-13,"Olá Ilha Bella Imóveis, clientes de alto padrão em Ilha Bella esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver?",2026-07-17,"Olá Ilha Bella Imóveis, atendimento personalizado com IA elevou conversão em Ilha Bella em 50%. Quer implementar gratuitamente?"
L014,Porto Seguro Imóveis,Porto Seguro,familiares,2026-07-10,2026-07-13,"Olá Porto Seguro Imóveis, famílias buscam segurança e praticidade em Porto Seguro. Com nosso assistente virtual, você responde em segundos e aumenta conversão. Quer demo?",2026-07-17,"Olá Porto Seguro Imóveis, imobiliária em Porto Seguro reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?"
L015,Brisa do Mar,Brisa do Mar,veraneio,2026-07-10,2026-07-13,"Olá Brisa do Mar, verão em Brisa do Mar movimenta vendas. Automatize captação e feche mais antes da temporada começar. Demo de 15min?",2026-07-17,"Olá Brisa do Mar, verão está chegando em Brisa do Mar. Automatize captação e tenha leads qualificados na sua mesa. Demo grátis?"
L016,Costa Dourada Imóveis,Costa Dourada,investimento,2026-07-10,2026-07-13,"Olá Costa Dourada Imóveis, investidores em Costa Dourada buscam dados rápidos e avaliações precisas. Nossa ferramenta entrega isso em 1 clique. Vamos testar?",2026-07-17,"Olá Costa Dourada Imóveis, com dados em tempo real, você fecha investimentos mais rápido. Case em Costa Dourada: +35% leads qualificados. Vamos conversar?"
L017,Maré Viva Imóveis,Maré Viva,temporada,2026-07-10,2026-07-13,"Olá Maré Viva Imóveis, follow-up: ainda testamos nossas ferramentas gratuitas para Maré Viva? Demo de 15min? https://praia.digital",2026-07-17,"Olá Maré Viva Imóveis, case em Maré Viva: +35% leads qualificados. Vamos replicar? https://praia.digital"
L018,Praia Azul Properties,Praia Azul,turismo,2026-07-10,2026-07-13,"Olá Praia Azul Properties, picos de procura por temporada em Praia Azul exigem resposta instantânea. Assistente virtual 24/7 = mais reservas. Teste grátis?",2026-07-17,"Olá Praia Azul Properties, temporada em Praia Azul com IA: resposta em segundos e mais reservas fechadas. Quer testar?"
L019,Litoral Sul Imóveis,Litoral Sul,veraneio,2026-07-10,2026-07-13,"Olá Litoral Sul Imóveis, verão em Litoral Sul movimenta vendas. Automatize captação e feche mais antes da temporada começar. Demo de 15min?",2026-07-17,"Olá Litoral Sul Imóveis, verão está chegando em Litoral Sul. Automatize captação e tenha leads qualificados na sua mesa. Demo grátis?"
L020,Vila Nova Properties,Vila Nova,comercial,2026-07-10,2026-07-13,"Olá Vila Nova Properties, imóveis comerciais em Vila Nova tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração grátis?",2026-07-17,"Olá Vila Nova Properties, automação reduziu ciclo de venda comercial em Vila Nova de 90 para 45 dias. Quer aplicar na sua operação?"
L021,Porto da Lua Exclusive,Porto da Lua,luxo,2026-07-10,2026-07-13,"Olá Porto da Lua Exclusive, clientes de alto padrão em Porto da Lua esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver?",2026-07-17,"Olá Porto da Lua Exclusive, atendimento personalizado com IA elevou conversão em Porto da Lua em 50%. Quer implementar gratuitamente?"
