nome,email,telefone,cidade,site,origem,dor
Agência Mar Azul,contato@marazul.com.br,(11) 90000-0001,Porto da Lua,www.marazul.com.br,Indicação,Temporada
Imobiliária Costa Bravo,contato@costabravo.com.br,(11) 90000-0002,Praia Grande,www.costabravo.com.br,Google,Temporada
Blue Coast Properties,contato@bluecoast.com.br,(11) 90000-0003,Porto da Lua,www.bluecoast.com.br,Indicação,Temporada
Atlantic Home,contato@atlantichome.com.br,(11) 90000-0004,Porto da Lua,www.atlantichome.com.br,Instagram,Temporada
Litoral Prime,contato@litoralprime.com.br,(11) 90000-0005,Praia Grande,www.litoralprime.com.br,Google,Temporada
Verão Imóveis,contato@veraoimoveis.com.br,(11) 90000-0006,Porto da Lua,www.veraoimoveis.com.br,Indicação,Temporada
Beach Properties,contato@beachproperties.com.br,(11) 90000-0007,Porto da Lua,www.beachproperties.com.br,Google,Temporada
Sun Coast,contato@suncoast.com.br,(11) 90000-0008,Praia Grande,www.suncoast.com.br,Instagram,Temporada
Wave Realty,contato@waverealty.com.br,(11) 90000-0009,Porto da Lua,www.waverealty.com.br,Indicação,Temporada
Golden Beach,contato@goldenbeach.com.br,(11) 90000-0010,Porto da Lua,www.goldenbeach.com.br,Google,Temporada
