lead_id,nome,cidade,email,telefone,site
L028,Sol Nascente Imóveis,Praia Grande,contato@solnascenteimoveis.com.br,(11) 99714-9503,https://sol-nascente-imoveis.com.br
L029,Maré Alta Properties,Costa Verde,contato@marealtaproperties.com.br,(11) 98941-4082,https://mare-alta-properties.com.br
L030,Costa Branca Imóveis,Litoral Norte,contato@costabrancaimoveis.com.br,(11) 99599-9324,https://costa-branca-imoveis.com.br
L031,Vista Mar Corretora,Praia Grande,contato@vistamarcorretora.com.br,(11) 98067-7509,https://vista-mar-corretora.com.br
L032,Praia Dourada Imóveis,Litoral Norte,contato@praiadouradaimoveis.com.br,(11) 99901-9234,https://praia-dourada-imoveis.com.br
L033,Recanto do Sol,Centro Hist.,contato@recantodosol.com.br,(11) 98525-6483,https://recanto-do-sol.com.br
L034,Maré Azul Properties,Praia Sul,contato@mareazulproperties.com.br,(11) 99637-2271,https://mare-azul-properties.com.br
L035,Brisa do Litoral,Porto da Lua,contato@brisadolitoral.com.br,(11) 98402-7693,https://brisa-do-litoral.com.br
L036,Costa do Sol Imóveis,Costa Verde,contato@costadosolimoveis.com.br,(11) 99361-3238,https://costa-do-sol-imoveis.com.br
L037,Vila Mariana Prime,Centro Hist.,contato@vilamarianaprime.com.br,(11) 98677-8490,https://vila-mariana-prime.com.br
L038,Porto Belo Imóveis,Praia Sul,contato@portobeloimoveis.com.br,(11) 98299-7772,https://porto-belo-imoveis.com.br
L039,Maré Viva Properties,Praia Sul,contato@marevivaproperties.com.br,(11) 98196-3334,https://mare-viva-properties.com.br
L040,Praia Verde Imóveis,Centro Hist.,contato@praiaverdeimoveis.com.br,(11) 98516-6275,https://praia-verde-imoveis.com.br
L041,Costa Serena Properties,Costa Verde,contato@costaserenapropertie.com.br,(11) 99333-2762,https://costa-serena-properties.com.br
L042,Maré Alta Prime,Praia Sul,contato@marealtaprime.com.br,(11) 98635-9334,https://mare-alta-prime.com.br
L043,Sol do Mar Imóveis,Praia Sul,contato@soldomarimoveis.com.br,(11) 99140-3617,https://sol-do-mar-imoveis.com.br
L044,Vila Mar Properties,Costa Verde,contato@vilamarproperties.com.br,(11) 98154-5425,https://vila-mar-properties.com.br
L045,Porto Sol Imóveis,Praia Grande,contato@portosolimoveis.com.br,(11) 99441-5341,https://porto-sol-imoveis.com.br
L046,Costa Dourada Properties,Barra Norte,contato@costadouradaproperti.com.br,(11) 99926-3835,https://costa-dourada-properties.com.br
L047,Brisa Marina Imóveis,Porto da Lua,contato@brisamarinaimoveis.com.br,(11) 99615-4187,https://brisa-marina-imoveis.com.br
L048,Praia Serena Properties,Costa Verde,contato@praiaserenapropertie.com.br,(11) 98010-7844,https://praia-serena-properties.com.br
L049,Maré Nova Imóveis,Praia Sul,contato@marenovaimoveis.com.br,(11) 99805-9394,https://mare-nova-imoveis.com.br
L050,Sol Nascente Prime,Costa Verde,contato@solnascenteprime.com.br,(11) 99911-4032,https://sol-nascente-prime.com.br
L051,Costa Azul Properties,Porto da Lua,contato@costaazulproperties.com.br,(11) 99487-6392,https://costa-azul-properties.com.br
L052,Vila Mar Azul,Centro Hist.,contato@vilamarazul.com.br,(11) 99903-4660,https://vila-mar-azul.com.br
